fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,GDP_value.1,DATE_x,CSENT,Interest_rate
2016,2,5,21,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,55.0,77969.63,18425.306,18611.617,2016-05-01,94.7,1.0
2021,4,12,51,Application Tooling Group,Americas,148,Powered Crimp Tools,33.0,64904.46,23550.42,24349.121,2021-12-01,70.6,
2022,2,4,15,Application Tooling Group,Americas,50,Insertion-Extraction Tools,17306.0,34430.0,24740.48,25248.476,2022-04-01,65.2,
2020,4,11,46,Application Tooling Group,Americas,148,Powered Crimp Tools,76.0,7326.7,21362.428,21704.706,2020-11-01,76.9,0.25
2020,2,4,16,Application Tooling Group,Americas,48,Certified Hand Tools,183.0,133516.05,21538.032,19636.731,2020-04-01,71.8,0.25
2020,2,6,24,Application Tooling Group,Americas,150,Miscellaneous Tools,240.0,57053.82,21538.032,19636.731,2020-06-01,78.1,0.25
2022,4,12,51,Application Tooling Group,Americas,48,Certified Hand Tools,197.0,156433.28,25723.941,26144.956,2022-12-01,59.7,
2021,3,8,31,Application Tooling Group,Americas,148,Powered Crimp Tools,19.0,36407.97,23046.934,23550.42,2021-08-01,70.3,0.25
2021,3,7,27,Application Tooling Group,Americas,48,Certified Hand Tools,133.0,61136.19,23046.934,23550.42,2021-07-01,81.2,0.25
2021,3,7,27,Application Tooling Group,Americas,389,Presses & Terminators,196.0,78843.72,23046.934,23550.42,2021-07-01,81.2,0.25
2021,1,3,12,Application Tooling Group,Americas,50,Insertion-Extraction Tools,50781.0,88691.81,24349.121,22313.85,2021-03-01,84.9,0.25
2022,4,11,46,Application Tooling Group,Americas,48,Certified Hand Tools,253.0,154762.53,25723.941,26144.956,2022-11-01,56.8,
2020,4,12,51,Application Tooling Group,Americas,50,Insertion-Extraction Tools,11068.0,48036.18,21362.428,21704.706,2020-12-01,80.7,0.25
2020,2,6,25,Application Tooling Group,Americas,148,Powered Crimp Tools,128.0,78425.71,21538.032,19636.731,2020-06-01,78.1,0.25
2022,2,4,17,Application Tooling Group,Americas,43,Pin Insertion Machines,7.0,12713.42,24740.48,25248.476,2022-04-01,65.2,
2021,1,2,7,Application Tooling Group,Americas,43,Pin Insertion Machines,22.0,18672.81,24349.121,22313.85,2021-02-01,76.8,0.25
2021,4,10,40,Application Tooling Group,Americas,389,Presses & Terminators,49.0,50668.89,23550.42,24349.121,2021-10-01,71.7,
2021,3,7,30,Application Tooling Group,Americas,48,Certified Hand Tools,278.0,223282.12,23046.934,23550.42,2021-07-01,81.2,0.25
2022,1,2,9,Application Tooling Group,Americas,50,Insertion-Extraction Tools,21657.0,65052.12,26144.956,24740.48,2022-02-01,62.8,
2020,4,11,46,Application Tooling Group,Americas,48,Certified Hand Tools,209.0,100926.02,21362.428,21704.706,2020-11-01,76.9,0.25
2020,1,2,7,Application Tooling Group,Americas,148,Powered Crimp Tools,57.0,120742.24,21704.706,21538.032,2020-02-01,101.0,2.25
2020,1,1,1,Application Tooling Group,Americas,51,Connector Seating Machines,15.0,18033.04,21704.706,21538.032,2020-01-01,99.8,2.25
2022,2,4,17,Application Tooling Group,Americas,50,Insertion-Extraction Tools,20626.0,48793.76,24740.48,25248.476,2022-04-01,65.2,
2022,3,9,36,Application Tooling Group,Americas,50,Insertion-Extraction Tools,14468.0,39015.2,25248.476,25723.941,2022-09-01,58.6,
2021,4,11,46,Application Tooling Group,Americas,150,Miscellaneous Tools,612.0,128807.91,23550.42,24349.121,2021-11-01,67.4,
2022,4,11,45,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,189.0,165564.11,25723.941,26144.956,2022-11-01,56.8,
2022,4,12,49,Application Tooling Group,Americas,50,Insertion-Extraction Tools,18708.0,49413.77,25723.941,26144.956,2022-12-01,59.7,
2015,4,11,46,Application Tooling Group,Americas,43,Pin Insertion Machines,32.0,53480.39,18306.96,18332.079,2015-11-01,91.3,0.75
2019,2,4,15,Application Tooling Group,Americas,43,Pin Insertion Machines,11.0,11826.72,21013.085,21272.448,2019-04-01,97.2,3.0
2022,2,6,24,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,93.0,94183.77,24740.48,25248.476,2022-06-01,50.0,
2022,4,12,52,Application Tooling Group,Americas,50,Insertion-Extraction Tools,21019.0,47171.97,25723.941,26144.956,2022-12-01,59.7,
2020,4,12,50,Application Tooling Group,Americas,48,Certified Hand Tools,256.0,61712.81,21362.428,21704.706,2020-12-01,80.7,0.25
2022,3,7,29,Application Tooling Group,Americas,48,Certified Hand Tools,232.0,160449.4,25248.476,25723.941,2022-07-01,51.5,
2022,4,12,49,Application Tooling Group,Americas,150,Miscellaneous Tools,287.0,61757.47,25723.941,26144.956,2022-12-01,59.7,
2016,3,9,39,Application Tooling Group,Americas,150,Miscellaneous Tools,208.0,46592.16,18611.617,18775.459,2016-09-01,91.2,1.0
2017,4,10,40,Application Tooling Group,Americas,150,Miscellaneous Tools,352.0,59717.5,19561.896,19894.75,2017-10-01,100.7,1.75
2018,3,9,38,Application Tooling Group,Americas,150,Miscellaneous Tools,315.0,62536.35,20470.197,20687.278,2018-09-01,100.1,2.75
2015,1,3,13,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,28.0,3491.61,18332.079,17991.348,2015-03-01,93.0,0.75
2015,2,4,15,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,245.0,17345.79,17991.348,18193.707,2015-04-01,95.9,0.75
2016,2,5,20,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,151.0,52916.91,18425.306,18611.617,2016-05-01,94.7,1.0
2016,3,8,31,Application Tooling Group,Americas,150,Miscellaneous Tools,640.0,95070.21,18611.617,18775.459,2016-08-01,89.8,1.0
2016,3,7,27,Application Tooling Group,Americas,50,Insertion-Extraction Tools,25699.0,58461.58,18611.617,18775.459,2016-07-01,90.0,1.0
2019,1,2,5,Application Tooling Group,Americas,150,Miscellaneous Tools,321.0,54350.47,21706.532,21013.085,2019-02-01,93.8,3.0
2016,3,9,38,Application Tooling Group,Americas,389,Presses & Terminators,183.0,267942.06,18611.617,18775.459,2016-09-01,91.2,1.0
2015,3,8,32,Application Tooling Group,Americas,50,Insertion-Extraction Tools,13056.0,38215.85,18193.707,18306.96,2015-08-01,91.9,0.75
2015,1,1,1,Application Tooling Group,Americas,42,Assembled Applicators,1674.0,217297.76,18332.079,17991.348,2015-01-01,98.1,0.75
2017,3,7,29,Application Tooling Group,Americas,42,Assembled Applicators,2119.0,940791.45,19304.506,19561.896,2017-07-01,93.4,1.75
2017,4,11,48,Application Tooling Group,Americas,50,Insertion-Extraction Tools,129007.0,112422.65,19561.896,19894.75,2017-11-01,98.5,1.75
2018,2,4,16,Application Tooling Group,Americas,389,Presses & Terminators,141.0,277032.02,20155.486,20470.197,2018-04-01,98.8,2.25
2021,2,6,26,Application Tooling Group,Americas,43,Pin Insertion Machines,26.0,415296.54,22313.85,23046.934,2021-06-01,85.5,0.25
2021,2,4,17,Application Tooling Group,Americas,51,Connector Seating Machines,0.0,-56.39,22313.85,23046.934,2021-04-01,88.3,0.25
2020,4,11,45,Application Tooling Group,Americas,50,Insertion-Extraction Tools,32900.0,74498.43,21362.428,21704.706,2020-11-01,76.9,0.25
2021,4,11,48,Application Tooling Group,Americas,150,Miscellaneous Tools,429.0,97442.31,23550.42,24349.121,2021-11-01,67.4,
2015,3,8,33,Application Tooling Group,Americas,150,Miscellaneous Tools,252.0,45274.1,18193.707,18306.96,2015-08-01,91.9,0.75
2017,1,2,8,Application Tooling Group,Americas,150,Miscellaneous Tools,153.0,19176.25,19894.75,19148.194,2017-02-01,96.3,1.25
2016,3,8,32,Application Tooling Group,Americas,389,Presses & Terminators,142.0,91447.08,18611.617,18775.459,2016-08-01,89.8,1.0
2016,3,9,38,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,36.0,96661.18,18611.617,18775.459,2016-09-01,91.2,1.0
2017,3,9,36,Application Tooling Group,Americas,389,Presses & Terminators,87.0,70015.94,19304.506,19561.896,2017-09-01,95.1,1.75
2019,1,1,1,Application Tooling Group,Americas,150,Miscellaneous Tools,704.0,143053.57,21706.532,21013.085,2019-01-01,91.2,3.0
2018,2,5,21,Application Tooling Group,Americas,150,Miscellaneous Tools,305.0,53120.06,20155.486,20470.197,2018-05-01,98.0,2.25
2015,2,4,17,Application Tooling Group,Americas,43,Pin Insertion Machines,46.0,25950.07,17991.348,18193.707,2015-04-01,95.9,0.75
2016,1,1,3,Application Tooling Group,Americas,150,Miscellaneous Tools,192.0,43069.38,18968.041,18425.306,2016-01-01,92.0,1.0
2015,1,2,7,Application Tooling Group,Americas,48,Certified Hand Tools,303.0,164790.52,18332.079,17991.348,2015-02-01,95.4,0.75
2019,1,3,10,Application Tooling Group,Americas,48,Certified Hand Tools,221.0,98170.3,21706.532,21013.085,2019-03-01,98.4,3.0
2015,4,11,46,Application Tooling Group,Americas,50,Insertion-Extraction Tools,17925.0,36833.84,18306.96,18332.079,2015-11-01,91.3,0.75
2016,4,10,42,Application Tooling Group,Americas,48,Certified Hand Tools,156.0,52467.01,18775.459,18968.041,2016-10-01,87.2,1.0
2017,3,8,34,Application Tooling Group,Americas,51,Connector Seating Machines,29.0,9754.3,19304.506,19561.896,2017-08-01,96.8,1.75
2019,2,4,14,Application Tooling Group,Americas,48,Certified Hand Tools,144.0,57284.83,21013.085,21272.448,2019-04-01,97.2,3.0
2019,3,8,34,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,318.0,19044.83,21272.448,21531.839,2019-08-01,89.8,2.75
2016,4,10,40,Application Tooling Group,Americas,43,Pin Insertion Machines,36.0,27893.98,18775.459,18968.041,2016-10-01,87.2,1.0
2019,1,2,8,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,73.0,9309.14,21706.532,21013.085,2019-02-01,93.8,3.0
2018,2,4,17,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,32.0,7256.27,20155.486,20470.197,2018-04-01,98.8,2.25
2019,4,11,46,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,206.0,11028.85,21531.839,21706.532,2019-11-01,96.8,2.25
2016,4,10,42,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,98.0,3679.15,18775.459,18968.041,2016-10-01,87.2,1.0
2019,4,10,43,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,89.0,106636.0,21531.839,21706.532,2019-10-01,95.5,2.25
2017,4,11,48,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,189.0,20310.68,19561.896,19894.75,2017-11-01,98.5,1.75
2022,2,6,26,Application Tooling Group,Americas,50,Insertion-Extraction Tools,32708.0,85392.79,24740.48,25248.476,2022-06-01,50.0,
2022,1,2,9,Application Tooling Group,Americas,42,Assembled Applicators,1532.0,241803.67,26144.956,24740.48,2022-02-01,62.8,
2022,1,2,5,Application Tooling Group,Americas,148,Powered Crimp Tools,69.0,50194.03,26144.956,24740.48,2022-02-01,62.8,
2021,4,11,44,Application Tooling Group,Americas,50,Insertion-Extraction Tools,21726.0,52868.93,23550.42,24349.121,2021-11-01,67.4,
2017,3,7,29,Application Tooling Group,Americas,51,Connector Seating Machines,18.0,17375.79,19304.506,19561.896,2017-07-01,93.4,1.75
2015,1,2,9,Application Tooling Group,Americas,150,Miscellaneous Tools,292.0,49544.02,18332.079,17991.348,2015-02-01,95.4,0.75
2015,1,2,8,Application Tooling Group,Americas,50,Insertion-Extraction Tools,20666.0,58733.49,18332.079,17991.348,2015-02-01,95.4,0.75
2016,2,4,17,Application Tooling Group,Americas,43,Pin Insertion Machines,24.0,16798.61,18425.306,18611.617,2016-04-01,89.0,1.0
2016,4,10,41,Application Tooling Group,Americas,150,Miscellaneous Tools,280.0,45180.29,18775.459,18968.041,2016-10-01,87.2,1.0
2015,4,11,44,Application Tooling Group,Americas,150,Miscellaneous Tools,448.0,64802.36,18306.96,18332.079,2015-11-01,91.3,0.75
2022,3,8,32,Application Tooling Group,Americas,42,Assembled Applicators,1642.0,250072.76,25248.476,25723.941,2022-08-01,58.2,
2021,1,1,4,Application Tooling Group,Americas,389,Presses & Terminators,174.0,33787.81,24349.121,22313.85,2021-01-01,79.0,0.25
2021,2,5,19,Application Tooling Group,Americas,42,Assembled Applicators,2129.0,280651.61,22313.85,23046.934,2021-05-01,82.9,0.25
2020,2,6,23,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,179.0,22915.86,21538.032,19636.731,2020-06-01,78.1,0.25
2020,3,7,27,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,83.0,8509.85,19636.731,21362.428,2020-07-01,72.5,0.25
2020,1,2,7,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,245.0,14137.63,21704.706,21538.032,2020-02-01,101.0,2.25
2020,3,8,35,Application Tooling Group,Americas,148,Powered Crimp Tools,20.0,84080.14,19636.731,21362.428,2020-08-01,74.1,0.25
2022,4,12,50,Application Tooling Group,Americas,148,Powered Crimp Tools,15.0,31662.47,25723.941,26144.956,2022-12-01,59.7,
2018,2,4,14,Application Tooling Group,Americas,50,Insertion-Extraction Tools,18611.0,79318.15,20155.486,20470.197,2018-04-01,98.8,2.25
2018,4,10,41,Application Tooling Group,Americas,43,Pin Insertion Machines,16.0,28192.52,20687.278,20819.269,2018-10-01,98.6,2.75
2018,1,1,1,Application Tooling Group,Americas,43,Pin Insertion Machines,12.0,4692.99,20819.269,20155.486,2018-01-01,95.7,2.0
2019,3,8,32,Application Tooling Group,Americas,43,Pin Insertion Machines,22.0,16668.0,21272.448,21531.839,2019-08-01,89.8,2.75
2018,1,1,4,Application Tooling Group,Americas,389,Presses & Terminators,166.0,66483.69,20819.269,20155.486,2018-01-01,95.7,2.0
2016,3,7,28,Application Tooling Group,Americas,51,Connector Seating Machines,10.0,91064.51,18611.617,18775.459,2016-07-01,90.0,1.0
2019,1,2,5,Application Tooling Group,Americas,42,Assembled Applicators,1350.0,219627.91,21706.532,21013.085,2019-02-01,93.8,3.0
2017,3,7,28,Application Tooling Group,Americas,42,Assembled Applicators,1542.0,188848.91,19304.506,19561.896,2017-07-01,93.4,1.75
2015,1,3,13,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,28.0,6484.57,18332.079,17991.348,2015-03-01,93.0,0.75
2019,1,1,4,Application Tooling Group,Americas,51,Connector Seating Machines,3.0,16424.32,21706.532,21013.085,2019-01-01,91.2,3.0
2017,3,8,32,Application Tooling Group,Americas,148,Powered Crimp Tools,39.0,118429.23,19304.506,19561.896,2017-08-01,96.8,1.75
2019,4,11,45,Application Tooling Group,Americas,43,Pin Insertion Machines,26.0,317848.62,21531.839,21706.532,2019-11-01,96.8,2.25
2016,2,5,22,Application Tooling Group,Americas,48,Certified Hand Tools,117.0,78964.89,18425.306,18611.617,2016-05-01,94.7,1.0
2018,2,5,21,Application Tooling Group,Americas,51,Connector Seating Machines,24.0,22969.18,20155.486,20470.197,2018-05-01,98.0,2.25
2015,2,5,18,Application Tooling Group,Americas,42,Assembled Applicators,2115.0,281475.3,17991.348,18193.707,2015-05-01,90.7,0.75
2016,3,9,37,Application Tooling Group,Americas,148,Powered Crimp Tools,159.0,94258.44,18611.617,18775.459,2016-09-01,91.2,1.0
2016,4,12,49,Application Tooling Group,Americas,42,Assembled Applicators,1928.0,196558.44,18775.459,18968.041,2016-12-01,98.2,1.25
2021,4,10,43,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,324.0,142731.44,23550.42,24349.121,2021-10-01,71.7,
2020,2,6,26,Application Tooling Group,Americas,42,Assembled Applicators,2159.0,308424.92,21538.032,19636.731,2020-06-01,78.1,0.25
2022,1,3,12,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,17.0,52686.22,26144.956,24740.48,2022-03-01,59.4,
2022,1,3,11,Application Tooling Group,Americas,42,Assembled Applicators,1977.0,272460.04,26144.956,24740.48,2022-03-01,59.4,
2021,3,8,34,Application Tooling Group,Americas,389,Presses & Terminators,179.0,244525.76,23046.934,23550.42,2021-08-01,70.3,0.25
2021,1,2,8,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,32.0,67650.56,24349.121,22313.85,2021-02-01,76.8,0.25
2022,1,3,12,Application Tooling Group,Americas,42,Assembled Applicators,2145.0,895162.85,26144.956,24740.48,2022-03-01,59.4,
2021,3,7,30,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,17.0,54584.45,23046.934,23550.42,2021-07-01,81.2,0.25
2022,2,5,19,Application Tooling Group,Americas,42,Assembled Applicators,2000.0,457673.64,24740.48,25248.476,2022-05-01,58.4,
2022,3,8,33,Application Tooling Group,Americas,48,Certified Hand Tools,373.0,242925.84,25248.476,25723.941,2022-08-01,58.2,
2015,1,3,12,Application Tooling Group,Americas,150,Miscellaneous Tools,412.0,66325.65,18332.079,17991.348,2015-03-01,93.0,0.75
2017,3,8,32,Application Tooling Group,Americas,150,Miscellaneous Tools,284.0,76135.13,19304.506,19561.896,2017-08-01,96.8,1.75
2016,1,1,4,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,104.0,243464.0,18968.041,18425.306,2016-01-01,92.0,1.0
2019,3,9,37,Application Tooling Group,Americas,42,Assembled Applicators,2138.0,364644.75,21272.448,21531.839,2019-09-01,93.2,2.5
2016,3,8,34,Application Tooling Group,Americas,51,Connector Seating Machines,11.0,105325.74,18611.617,18775.459,2016-08-01,89.8,1.0
2021,2,4,15,Application Tooling Group,Americas,42,Assembled Applicators,1843.0,307823.16,22313.85,23046.934,2021-04-01,88.3,0.25
2021,4,11,48,Application Tooling Group,Americas,389,Presses & Terminators,127.0,58127.34,23550.42,24349.121,2021-11-01,67.4,
2021,2,4,16,Application Tooling Group,Americas,43,Pin Insertion Machines,31.0,20116.0,22313.85,23046.934,2021-04-01,88.3,0.25
2021,3,7,30,Application Tooling Group,Americas,389,Presses & Terminators,146.0,223518.37,23046.934,23550.42,2021-07-01,81.2,0.25
2020,3,9,38,Application Tooling Group,Americas,42,Assembled Applicators,2079.0,945671.47,19636.731,21362.428,2020-09-01,80.4,0.25
2021,1,3,13,Application Tooling Group,Americas,42,Assembled Applicators,975.0,128243.32,24349.121,22313.85,2021-03-01,84.9,0.25
2021,3,8,34,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,59.0,73706.97,23046.934,23550.42,2021-08-01,70.3,0.25
2018,1,3,10,Application Tooling Group,Americas,42,Assembled Applicators,1969.0,249961.01,20819.269,20155.486,2018-03-01,101.4,2.25
2018,1,1,1,Application Tooling Group,Americas,150,Miscellaneous Tools,254.0,49771.7,20819.269,20155.486,2018-01-01,95.7,2.0
2016,2,5,22,Application Tooling Group,Americas,50,Insertion-Extraction Tools,28255.0,60997.6,18425.306,18611.617,2016-05-01,94.7,1.0
2015,2,5,19,Application Tooling Group,Americas,42,Assembled Applicators,2518.0,271395.12,17991.348,18193.707,2015-05-01,90.7,0.75
2015,2,6,25,Application Tooling Group,Americas,150,Miscellaneous Tools,442.0,78208.28,17991.348,18193.707,2015-06-01,96.1,0.75
2018,1,2,6,Application Tooling Group,Americas,50,Insertion-Extraction Tools,22561.0,53763.08,20819.269,20155.486,2018-02-01,99.7,2.0
2016,2,5,18,Application Tooling Group,Americas,50,Insertion-Extraction Tools,9302.0,51578.74,18425.306,18611.617,2016-05-01,94.7,1.0
2016,3,9,37,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,98.0,211735.61,18611.617,18775.459,2016-09-01,91.2,1.0
2015,2,6,24,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,114.0,11301.59,17991.348,18193.707,2015-06-01,96.1,0.75
2018,4,12,49,Application Tooling Group,Americas,150,Miscellaneous Tools,188.0,34005.87,20687.278,20819.269,2018-12-01,98.3,3.0
2018,4,12,50,Application Tooling Group,Americas,48,Certified Hand Tools,388.0,138674.2,20687.278,20819.269,2018-12-01,98.3,3.0
2021,1,2,6,Application Tooling Group,Americas,43,Pin Insertion Machines,16.0,11623.92,24349.121,22313.85,2021-02-01,76.8,0.25
2021,2,6,26,Application Tooling Group,Americas,42,Assembled Applicators,2594.0,401442.22,22313.85,23046.934,2021-06-01,85.5,0.25
2020,1,3,12,Application Tooling Group,Americas,51,Connector Seating Machines,45.0,123612.18,21704.706,21538.032,2020-03-01,89.1,0.25
2018,1,1,3,Application Tooling Group,Americas,42,Assembled Applicators,2358.0,1006127.96,20819.269,20155.486,2018-01-01,95.7,2.0
2018,1,2,6,Application Tooling Group,Americas,150,Miscellaneous Tools,319.0,53139.02,20819.269,20155.486,2018-02-01,99.7,2.0
2019,1,3,12,Application Tooling Group,Americas,42,Assembled Applicators,1494.0,906045.79,21706.532,21013.085,2019-03-01,98.4,3.0
2016,3,7,30,Application Tooling Group,Americas,51,Connector Seating Machines,6.0,21407.58,18611.617,18775.459,2016-07-01,90.0,1.0
2016,4,10,43,Application Tooling Group,Americas,51,Connector Seating Machines,25.0,25277.99,18775.459,18968.041,2016-10-01,87.2,1.0
2015,3,9,37,Application Tooling Group,Americas,50,Insertion-Extraction Tools,11186.0,43722.1,18193.707,18306.96,2015-09-01,87.2,0.75
2016,2,4,14,Application Tooling Group,Americas,50,Insertion-Extraction Tools,3589.0,15820.44,18425.306,18611.617,2016-04-01,89.0,1.0
2018,3,7,29,Application Tooling Group,Americas,150,Miscellaneous Tools,827.0,127837.94,20470.197,20687.278,2018-07-01,97.9,2.5
2018,1,1,3,Application Tooling Group,Americas,50,Insertion-Extraction Tools,26177.0,67262.64,20819.269,20155.486,2018-01-01,95.7,2.0
2019,1,2,6,Application Tooling Group,Americas,148,Powered Crimp Tools,99.0,108519.23,21706.532,21013.085,2019-02-01,93.8,3.0
2016,4,10,42,Application Tooling Group,Americas,43,Pin Insertion Machines,9.0,9362.46,18775.459,18968.041,2016-10-01,87.2,1.0
2019,1,3,12,Application Tooling Group,Americas,50,Insertion-Extraction Tools,36060.0,84553.94,21706.532,21013.085,2019-03-01,98.4,3.0
2020,4,10,40,Application Tooling Group,Americas,43,Pin Insertion Machines,29.0,11913.04,21362.428,21704.706,2020-10-01,81.8,0.25
2019,4,10,42,Application Tooling Group,Americas,48,Certified Hand Tools,264.0,134652.53,21531.839,21706.532,2019-10-01,95.5,2.25
2016,1,1,3,Application Tooling Group,Americas,51,Connector Seating Machines,10.0,175033.1,18968.041,18425.306,2016-01-01,92.0,1.0
2020,1,3,10,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,20.0,2141.0,21704.706,21538.032,2020-03-01,89.1,0.25
2020,2,6,24,Application Tooling Group,Americas,51,Connector Seating Machines,2.0,4824.84,21538.032,19636.731,2020-06-01,78.1,0.25
2016,3,9,37,Application Tooling Group,Americas,43,Pin Insertion Machines,2.0,893.36,18611.617,18775.459,2016-09-01,91.2,1.0
2022,3,8,34,Application Tooling Group,Americas,42,Assembled Applicators,2282.0,1096947.41,25248.476,25723.941,2022-08-01,58.2,
2021,1,3,12,Application Tooling Group,Americas,389,Presses & Terminators,145.0,228717.68,24349.121,22313.85,2021-03-01,84.9,0.25
2020,2,4,15,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,222.0,33307.8,21538.032,19636.731,2020-04-01,71.8,0.25
2020,2,5,20,Application Tooling Group,Americas,148,Powered Crimp Tools,24.0,65901.45,21538.032,19636.731,2020-05-01,72.3,0.25
2020,1,1,1,Application Tooling Group,Americas,148,Powered Crimp Tools,30.0,38595.72,21704.706,21538.032,2020-01-01,99.8,2.25
2020,1,2,7,Application Tooling Group,Americas,150,Miscellaneous Tools,199.0,47729.78,21704.706,21538.032,2020-02-01,101.0,2.25
2018,1,2,7,Application Tooling Group,Americas,51,Connector Seating Machines,6.0,79816.45,20819.269,20155.486,2018-02-01,99.7,2.0
2015,2,4,16,Application Tooling Group,Americas,150,Miscellaneous Tools,208.0,43493.31,17991.348,18193.707,2015-04-01,95.9,0.75
2016,1,1,4,Application Tooling Group,Americas,150,Miscellaneous Tools,194.0,39133.41,18968.041,18425.306,2016-01-01,92.0,1.0
2018,4,11,48,Application Tooling Group,Americas,389,Presses & Terminators,112.0,31489.63,20687.278,20819.269,2018-11-01,97.5,2.75
2015,2,5,18,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,105.0,20168.07,17991.348,18193.707,2015-05-01,90.7,0.75
2015,1,1,4,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,204.0,27689.77,18332.079,17991.348,2015-01-01,98.1,0.75
2018,1,1,1,Application Tooling Group,Americas,48,Certified Hand Tools,225.0,110466.05,20819.269,20155.486,2018-01-01,95.7,2.0
2018,1,2,7,Application Tooling Group,Americas,48,Certified Hand Tools,247.0,87917.52,20819.269,20155.486,2018-02-01,99.7,2.0
2020,2,5,19,Application Tooling Group,Americas,389,Presses & Terminators,105.0,41313.9,21538.032,19636.731,2020-05-01,72.3,0.25
2020,4,12,50,Application Tooling Group,Americas,50,Insertion-Extraction Tools,4469.0,30410.38,21362.428,21704.706,2020-12-01,80.7,0.25
2022,2,4,16,Application Tooling Group,Americas,150,Miscellaneous Tools,281.0,71310.08,24740.48,25248.476,2022-04-01,65.2,
2020,1,1,2,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,39.0,8124.01,21704.706,21538.032,2020-01-01,99.8,2.25
2015,1,1,1,Application Tooling Group,Americas,43,Pin Insertion Machines,35.0,18383.13,18332.079,17991.348,2015-01-01,98.1,0.75
2017,1,3,10,Application Tooling Group,Americas,43,Pin Insertion Machines,18.0,9532.49,19894.75,19148.194,2017-03-01,96.9,1.5
2016,1,2,9,Application Tooling Group,Americas,43,Pin Insertion Machines,29.0,3031.93,18968.041,18425.306,2016-02-01,91.7,1.0
2019,3,9,37,Application Tooling Group,Americas,43,Pin Insertion Machines,24.0,19545.58,21272.448,21531.839,2019-09-01,93.2,2.5
2015,1,2,5,Application Tooling Group,Americas,389,Presses & Terminators,98.0,-18046.27,18332.079,17991.348,2015-02-01,95.4,0.75
2016,4,11,47,Application Tooling Group,Americas,48,Certified Hand Tools,206.0,44703.12,18775.459,18968.041,2016-11-01,93.8,1.0
2019,4,11,46,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,55.0,4010.99,21531.839,21706.532,2019-11-01,96.8,2.25
2016,2,4,17,Application Tooling Group,Americas,48,Certified Hand Tools,229.0,52168.24,18425.306,18611.617,2016-04-01,89.0,1.0
2019,1,1,2,Application Tooling Group,Americas,43,Pin Insertion Machines,26.0,15998.59,21706.532,21013.085,2019-01-01,91.2,3.0
2018,1,3,13,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,3.0,26662.0,20819.269,20155.486,2018-03-01,101.4,2.25
2022,1,2,5,Application Tooling Group,Americas,48,Certified Hand Tools,296.0,218255.26,26144.956,24740.48,2022-02-01,62.8,
2021,4,12,52,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,186.0,37794.93,23550.42,24349.121,2021-12-01,70.6,
2019,4,10,42,Application Tooling Group,Americas,389,Presses & Terminators,50.0,227894.64,21531.839,21706.532,2019-10-01,95.5,2.25
2017,2,5,22,Application Tooling Group,Americas,50,Insertion-Extraction Tools,21422.0,54566.28,19148.194,19304.506,2017-05-01,97.1,1.5
2015,4,12,51,Application Tooling Group,Americas,42,Assembled Applicators,1660.0,996349.36,18306.96,18332.079,2015-12-01,92.6,1.0
2019,3,8,33,Application Tooling Group,Americas,50,Insertion-Extraction Tools,21259.0,50555.71,21272.448,21531.839,2019-08-01,89.8,2.75
2018,4,12,51,Application Tooling Group,Americas,51,Connector Seating Machines,8.0,103272.74,20687.278,20819.269,2018-12-01,98.3,3.0
2019,1,1,4,Application Tooling Group,Americas,148,Powered Crimp Tools,52.0,46450.04,21706.532,21013.085,2019-01-01,91.2,3.0
