fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value
2019,3,9,36,"Aerospace, Defense & Marine",Americas,723,Harnesses / Kits,809.0,82887.92,21272.448
2016,3,9,37,"Aerospace, Defense & Marine",Americas,F03,Nanonics Products,197.0,29011.08,18611.617
2015,3,9,39,"Aerospace, Defense & Marine",Americas,JE2,Feedthrough,1185.0,106327.5,18193.707
2016,1,3,13,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,8189.0,226964.12,18968.041
2017,1,1,3,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,25929.0,279369.79,19894.75
2016,2,5,19,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,7213.0,160353.31,18425.306
2015,3,7,27,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,4247.0,113253.43,18193.707
2021,2,4,15,"Aerospace, Defense & Marine",Americas,257,ARINC Products,2373.0,63001.39,22313.85
2021,1,3,10,"Aerospace, Defense & Marine",Americas,B55,Rugged Whisper,125.0,19798.5,24349.121
2020,2,6,26,"Aerospace, Defense & Marine",Americas,K81,High Speed Copper Assemblies,2468.0,120068.38,21538.032
2020,4,12,51,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,99.0,80490.23,21362.428
2021,3,9,38,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,42.0,49094.58,23046.934
2021,1,3,11,"Aerospace, Defense & Marine",Americas,J89,Micro Circular Connectors,1577.0,49029.32,24349.121
2021,2,5,18,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,293282.0,235494.34,22313.85
2020,1,1,1,"Aerospace, Defense & Marine",Americas,746,Flex Power Cable,4028.542,100160.44,21704.706
2021,4,11,45,"Aerospace, Defense & Marine",Americas,JF1,FILTERS,1668.0,33534.76,23550.42
2022,3,8,33,"Aerospace, Defense & Marine",Americas,299,Box Connectors,2.0,-29499.7,25248.476
2022,3,8,32,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,437.0,5769.39,25248.476
2015,4,12,49,"Aerospace, Defense & Marine",Americas,088,G Series Products,-20423.0,-44616.83,18306.96
2016,2,5,22,"Aerospace, Defense & Marine",Americas,088,G Series Products,49762.0,85098.86,18425.306
2019,4,12,52,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,396.0,88080.51,21531.839
2018,1,2,7,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,16831.969,216952.65,20819.269
2015,2,5,19,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,22881.22,207238.14,17991.348
2018,1,3,12,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,24349.0,223138.23,20819.269
2018,2,5,22,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,4422.0,258158.81,20155.486
2018,3,8,32,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,-3.0,-30049.04,20470.197
2016,2,4,14,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,4003.0,-12994.64,18425.306
2017,1,1,1,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,775.0,166185.78,19894.75
2017,1,3,10,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,13022.0,98011.96,19894.75
2015,2,5,21,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,627.0,113861.21,17991.348
2018,2,5,22,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,106923.84,146616.3,20155.486
2017,3,9,37,"Aerospace, Defense & Marine",Americas,F43,High Voltage Communication Relays - Kilovac,1514.0,33652.12,19304.506
2016,3,7,28,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,13723.0,24582.85,18611.617
2016,1,3,10,"Aerospace, Defense & Marine",Americas,JC3,Engine,2268.0,101635.39,18968.041
2018,1,1,1,"Aerospace, Defense & Marine",Americas,JC6,38999 Series III,21589.0,156735.42,20819.269
2019,1,3,10,"Aerospace, Defense & Marine",Americas,JC6,38999 Series III,23528.0,149636.29,21706.532
2016,1,1,4,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,403532.0,316515.0,18968.041
2018,3,9,36,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,269472.0,226236.56,20470.197
2018,1,3,13,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,105169.0,80553.78,20819.269
2019,2,6,24,"Aerospace, Defense & Marine",Americas,J89,Micro Circular Connectors,6194.0,164931.21,21013.085
2019,4,10,43,"Aerospace, Defense & Marine",Americas,F38,Hartman AC Contactors,458.0,1506247.42,21531.839
2019,3,7,27,"Aerospace, Defense & Marine",Americas,F38,Hartman AC Contactors,156.0,344107.84,21272.448
2017,1,3,11,"Aerospace, Defense & Marine",Americas,257,ARINC Products,7261.0,137353.41,19894.75
2016,4,12,53,"Aerospace, Defense & Marine",Americas,JE4,Hermetics North America,6781.0,551159.64,18775.459
2017,2,4,15,"Aerospace, Defense & Marine",Americas,JD8,Signal,1797472.0,267024.22,19148.194
2018,1,1,2,"Aerospace, Defense & Marine",Americas,257,ARINC Products,2596.0,109549.48,20819.269
2018,3,9,39,"Aerospace, Defense & Marine",Americas,F40,Hartman Panels and Miscellaneous,167.0,149718.92,20470.197
2016,4,11,48,"Aerospace, Defense & Marine",Americas,912,44 Cable,146424.091,170890.49,18775.459
2018,3,9,38,"Aerospace, Defense & Marine",Americas,F40,Hartman Panels and Miscellaneous,554.0,67067.31,20470.197
2018,2,4,14,"Aerospace, Defense & Marine",Americas,F38,Hartman AC Contactors,10.0,13739.56,20155.486
2015,3,8,35,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,4726.0,137661.92,18193.707
2016,1,2,7,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,839.0,36064.98,18968.041
2019,4,11,44,"Aerospace, Defense & Marine",Americas,B79,Microdot Micro-D & Rectangular Connectors,3419.0,102135.85,21531.839
2022,1,3,13,"Aerospace, Defense & Marine",Americas,JC3,Engine,1058.0,29640.82,26144.956
2022,1,3,10,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,10911.0,42085.49,26144.956
2022,4,11,45,"Aerospace, Defense & Marine",Americas,746,Flex Power Cable,1533.144,43166.64,25723.941
2021,2,6,23,"Aerospace, Defense & Marine",Americas,586,Controlled Electrical,6641.592,32988.5,22313.85
2020,2,4,14,"Aerospace, Defense & Marine",Americas,JE4,Hermetics North America,1746.0,59737.34,21538.032
2020,2,5,21,"Aerospace, Defense & Marine",Americas,F39,Hartman DC Contactors,284.0,345506.2,21538.032
2020,1,1,3,"Aerospace, Defense & Marine",Americas,712,System 6,103250.0,55331.93,21704.706
2020,2,4,16,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,1175.0,80398.26,21538.032
2020,3,9,38,"Aerospace, Defense & Marine",Americas,A47,Relays/Timers -- Agastat,26306.0,53434.14,19636.731
2022,2,4,17,"Aerospace, Defense & Marine",Americas,547,MTC Solder,1084.0,20767.74,24740.48
2021,1,2,8,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,3479.0,98014.66,24349.121
2021,2,6,24,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,3145.0,62358.97,22313.85
2021,4,11,44,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,405.0,71100.99,23550.42
2021,1,2,6,"Aerospace, Defense & Marine",Americas,JD8,Signal,1871746.0,257070.07,24349.121
2016,4,10,41,"Aerospace, Defense & Marine",Americas,912,44 Cable,169716.602,114466.85,18775.459
2016,2,6,24,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,13867.0,179165.13,18425.306
2018,3,9,36,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,17110.0,139788.7,20470.197
2017,3,8,31,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,1272.0,34969.41,19304.506
2019,3,9,38,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,4868.0,147010.2,21272.448
2016,3,9,38,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,3513.0,591937.19,18611.617
2017,4,11,47,"Aerospace, Defense & Marine",Americas,LT6,Dry Mate Connector,55.0,7968.64,19561.896
2018,3,9,36,"Aerospace, Defense & Marine",Americas,G49,Mid Range Relays,-92.0,16011.47,20470.197
2015,4,10,41,"Aerospace, Defense & Marine",Americas,299,Box Connectors,12042.0,181946.03,18306.96
2015,1,1,2,"Aerospace, Defense & Marine",Americas,299,Box Connectors,5431.0,-3612.35,18332.079
2018,1,1,4,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,6300.0,215436.73,20819.269
2018,1,2,5,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,314.0,5927.25,20819.269
2021,2,4,15,"Aerospace, Defense & Marine",Americas,912,44 Cable,225470.619,124261.53,22313.85
2021,2,6,26,"Aerospace, Defense & Marine",Americas,915,55 Wire,1462649.246,411277.12,22313.85
2021,3,8,35,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,381662.0,216560.95,23046.934
2022,4,12,50,"Aerospace, Defense & Marine",Americas,584,Solder Sleeves,352599.0,219849.24,25723.941
2021,4,10,43,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,386212.0,251633.97,23550.42
2022,3,8,31,"Aerospace, Defense & Marine",Americas,914,55 Cable,149042.324,183524.45,25248.476
2021,1,3,10,"Aerospace, Defense & Marine",Americas,299,Box Connectors,2000.0,156927.62,24349.121
2022,4,11,47,"Aerospace, Defense & Marine",Americas,AA3,Mil Spec Conn & Assys,20.0,134414.45,25723.941
2022,3,7,28,"Aerospace, Defense & Marine",Americas,D49,Mid Range Relays DRI,33738.0,308117.0,25248.476
2022,4,12,50,"Aerospace, Defense & Marine",Americas,257,ARINC Products,9384.0,14876.56,25723.941
2022,4,12,49,"Aerospace, Defense & Marine",Americas,257,ARINC Products,325.0,30981.45,25723.941
2021,4,12,52,"Aerospace, Defense & Marine",Americas,JE4,Hermetics North America,3317.0,388377.76,23550.42
2021,3,9,38,"Aerospace, Defense & Marine",Americas,088,G Series Products,27400.0,35137.65,23046.934
2021,2,6,24,"Aerospace, Defense & Marine",Americas,F40,Hartman Panels and Miscellaneous,221.0,14749.42,22313.85
2017,2,4,15,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,23519.0,103335.87,19148.194
2017,2,6,26,"Aerospace, Defense & Marine",Americas,JC3,Engine,5590.0,51988.26,19148.194
2017,3,8,33,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,17254.0,199005.72,19304.506
2017,2,5,18,"Aerospace, Defense & Marine",Americas,547,MTC Solder,1257.0,26106.42,19148.194
2017,1,3,12,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,4152.0,94283.23,19894.75
2017,3,8,35,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,2080.0,95493.6,19304.506
2018,3,8,34,"Aerospace, Defense & Marine",Americas,915,55 Wire,1528166.909,326790.95,20470.197
2018,4,11,44,"Aerospace, Defense & Marine",Americas,914,55 Cable,329509.221,458406.02,20687.278
2016,3,7,29,"Aerospace, Defense & Marine",Americas,915,55 Wire,737361.492,209360.13,18611.617
2015,4,12,50,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,131963.0,93543.11,18306.96
2017,4,10,43,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,56347.765,124272.63,19561.896
2015,1,1,2,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,21781.007,54484.13,18332.079
2016,4,10,41,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,5128.0,83180.89,18775.459
2017,3,8,32,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,95524.0,70050.13,19304.506
2018,3,8,33,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,112311.0,110468.9,20470.197
2015,2,4,16,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,1295.0,37109.44,17991.348
2019,4,12,51,"Aerospace, Defense & Marine",Americas,652,Tubing Elastomers TFIT,25876.44,141970.55,21531.839
2019,1,1,1,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,96.0,27546.6,21706.532
2015,2,5,22,"Aerospace, Defense & Marine",Americas,F40,Hartman Panels and Miscellaneous,40.0,108350.14,17991.348
2017,1,2,8,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,749.0,23313.41,19894.75
2019,1,2,9,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,2368.0,173006.67,21706.532
2018,1,2,5,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,68.0,14537.34,20819.269
2017,4,12,51,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,2334.0,141275.13,19561.896
2019,2,5,21,"Aerospace, Defense & Marine",Americas,AA3,Mil Spec Conn & Assys,77.0,126541.41,21013.085
2019,1,2,5,"Aerospace, Defense & Marine",Americas,AA3,Mil Spec Conn & Assys,23.0,12523.2,21706.532
2019,4,10,41,"Aerospace, Defense & Marine",Americas,584,Solder Sleeves,497570.0,330230.63,21531.839
2015,1,2,8,"Aerospace, Defense & Marine",Americas,AC8,DMC-M Modules,4723.0,40431.83,18332.079
2015,1,3,13,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,55966.764,188246.63,18332.079
2015,1,1,1,"Aerospace, Defense & Marine",Americas,915,55 Wire,541418.984,103060.1,18332.079
2018,3,7,28,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,405714.0,262797.33,20470.197
2017,3,8,35,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,88961.061,181401.73,19304.506
2016,3,9,36,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,10354.0,93024.21,18611.617
2019,4,12,52,"Aerospace, Defense & Marine",Americas,567,Blow Molded Parts,4721.0,59449.14,21531.839
2018,3,9,38,"Aerospace, Defense & Marine",Americas,912,44 Cable,71569.784,93472.09,20470.197
2019,3,8,34,"Aerospace, Defense & Marine",Americas,716,Data Bus Components,1500.0,98361.46,21272.448
2016,1,3,10,"Aerospace, Defense & Marine",Americas,716,Data Bus Components,2322.0,138058.28,18968.041
2017,3,7,30,"Aerospace, Defense & Marine",Americas,JC3,Engine,1657.0,43256.94,19304.506
2015,1,1,1,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,2126.0,37550.02,18332.079
2015,2,4,16,"Aerospace, Defense & Marine",Americas,AC8,DMC-M Modules,5253.0,120345.34,17991.348
2017,3,7,27,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,216.0,95985.72,19304.506
2017,4,12,51,"Aerospace, Defense & Marine",Americas,JB2,Rochester ROV,22637.796,445949.0,19561.896
2018,2,5,20,"Aerospace, Defense & Marine",Americas,K79,Rochester EOP,29527.56,40560.0,20155.486
2017,2,4,15,"Aerospace, Defense & Marine",Americas,JB2,Rochester ROV,14108.0,324766.16,19148.194
2015,3,8,34,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,33.0,33642.63,18193.707
2018,3,8,32,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,617.0,80297.19,20470.197
2015,2,6,25,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,1156.0,47013.62,17991.348
2015,1,3,11,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,885.0,15887.03,18332.079
2019,3,8,32,"Aerospace, Defense & Marine",Americas,F03,Nanonics Products,483.0,62897.74,21272.448
2018,2,4,16,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,33268.92,127349.82,20155.486
2018,1,2,9,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,50034.444,75156.61,20819.269
2018,1,3,10,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,3352.8,3979.61,20819.269
2017,3,7,28,"Aerospace, Defense & Marine",Americas,A47,Relays/Timers -- Agastat,107.0,24621.8,19304.506
2019,1,3,11,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,0.0,-1226.36,21706.532
2015,3,9,36,"Aerospace, Defense & Marine",Americas,K81,High Speed Copper Assemblies,1.0,4492.84,18193.707
2016,1,2,5,"Aerospace, Defense & Marine",Americas,547,MTC Solder,622.0,11430.47,18968.041
2019,3,9,39,"Aerospace, Defense & Marine",Americas,F03,Nanonics Products,1434.0,110239.39,21272.448
2015,2,6,23,"Aerospace, Defense & Marine",Americas,F03,Nanonics Products,782.0,73200.87,17991.348
2018,3,8,31,"Aerospace, Defense & Marine",Americas,JE2,Feedthrough,951.0,63623.65,20470.197
2016,2,6,24,"Aerospace, Defense & Marine",Americas,299,Box Connectors,9320.0,126656.95,18425.306
2018,4,10,40,"Aerospace, Defense & Marine",Americas,JF9,CTJ AS81714 Series II,448.0,23087.48,20687.278
2017,1,2,5,"Aerospace, Defense & Marine",Americas,JD1,ABC,3616.0,113785.37,19894.75
2017,2,4,16,"Aerospace, Defense & Marine",Americas,JD1,ABC,3236.0,45365.96,19148.194
2018,4,11,46,"Aerospace, Defense & Marine",Americas,907,Tinel-Lock,2798.0,47495.45,20687.278
2017,3,8,31,"Aerospace, Defense & Marine",Americas,AC8,DMC-M Modules,5300.0,77157.26,19304.506
2017,1,1,2,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,920.0,11690.9,19894.75
2016,1,1,4,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,1164.0,38693.94,18968.041
2018,2,4,14,"Aerospace, Defense & Marine",Americas,907,Tinel-Lock,1083.0,26436.45,20155.486
2015,1,2,5,"Aerospace, Defense & Marine",Americas,JD2,369,50.0,607.75,18332.079
2016,2,5,18,"Aerospace, Defense & Marine",Americas,586,Controlled Electrical,810.768,8934.73,18425.306
2018,3,8,32,"Aerospace, Defense & Marine",Americas,JF9,CTJ AS81714 Series II,1424.0,23454.25,20470.197
2016,1,2,6,"Aerospace, Defense & Marine",Americas,JD1,ABC,1828.0,40669.51,18968.041
2019,3,7,29,"Aerospace, Defense & Marine",Americas,JD1,ABC,2647.0,39861.26,21272.448
2017,1,1,1,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,875.0,31409.0,19894.75
2015,4,11,48,"Aerospace, Defense & Marine",Americas,F03,Nanonics Products,984.0,173858.17,18306.96
2017,2,5,20,"Aerospace, Defense & Marine",Americas,JE2,Feedthrough,535.0,110007.5,19148.194
2015,3,8,32,"Aerospace, Defense & Marine",Americas,243,AMPLIMITE - Aerospace & Military,141591.0,113842.51,18193.707
2015,2,6,24,"Aerospace, Defense & Marine",Americas,257,ARINC Products,12110.0,210316.08,17991.348
2018,1,2,5,"Aerospace, Defense & Marine",Americas,243,AMPLIMITE - Aerospace & Military,33219.0,99217.89,20819.269
2015,1,3,11,"Aerospace, Defense & Marine",Americas,F38,Hartman AC Contactors,283.0,637049.8,18332.079
2015,2,6,23,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,7207.0,364463.6,17991.348
2019,2,6,23,"Aerospace, Defense & Marine",Americas,LU4,Underwater Mateable Connector,33.0,93090.0,21013.085
2016,2,6,24,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,6696.456,8762.73,18425.306
2018,4,10,40,"Aerospace, Defense & Marine",Americas,LU4,Underwater Mateable Connector,1.0,9151.0,20687.278
2017,3,9,36,"Aerospace, Defense & Marine",Americas,JB6,Rochester Ocean Research,31167.98,228500.0,19304.506
2017,3,8,35,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,8576.0,310848.85,19304.506
2016,4,10,41,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,26551.0,217393.37,18775.459
2015,3,8,34,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,20168.0,176201.08,18193.707
2016,4,10,40,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,7787.0,95538.23,18775.459
2019,4,11,45,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,1866.0,54416.13,21531.839
2017,2,6,24,"Aerospace, Defense & Marine",Americas,JC4,Other,321.0,-13033.39,19148.194
2018,4,10,40,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,29441.0,235017.19,20687.278
2016,4,12,51,"Aerospace, Defense & Marine",Americas,350,Miscellaneous,4.0,7332.17,18775.459
2015,4,11,46,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,3129.0,77260.56,18306.96
2019,4,12,49,"Aerospace, Defense & Marine",Americas,JC4,Other,791.0,11763.16,21531.839
2017,4,11,47,"Aerospace, Defense & Marine",Americas,B79,Microdot Micro-D & Rectangular Connectors,2460.0,33407.46,19561.896
2015,2,4,14,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,1795.0,16020.34,17991.348
2019,2,6,26,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,536.0,147476.33,21013.085
2016,2,5,22,"Aerospace, Defense & Marine",Americas,JC0,38999 Series III Specials,5966.0,218130.78,18425.306
2017,4,10,43,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,21890.0,100473.75,19561.896
2019,4,12,50,"Aerospace, Defense & Marine",Americas,JD8,Signal,3067253.0,487692.92,21531.839
2017,3,9,39,"Aerospace, Defense & Marine",Americas,088,G Series Products,71835.0,123966.52,19304.506
2018,4,10,41,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,2910.0,81961.89,20687.278
2015,2,4,16,"Aerospace, Defense & Marine",Americas,088,G Series Products,9205.0,2792.82,17991.348
2016,4,12,53,"Aerospace, Defense & Marine",Americas,547,MTC Solder,4972.0,239171.02,18775.459
2018,4,11,45,"Aerospace, Defense & Marine",Americas,F43,High Voltage Communication Relays - Kilovac,6105.0,265591.75,20687.278
2017,4,11,45,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,65.0,16135.9,19561.896
2015,4,12,50,"Aerospace, Defense & Marine",Americas,547,MTC Solder,750.0,71880.77,18306.96
2017,4,11,48,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,335.0,97393.58,19561.896
2018,4,10,43,"Aerospace, Defense & Marine",Americas,K81,High Speed Copper Assemblies,2218.0,174535.11,20687.278
2017,3,7,27,"Aerospace, Defense & Marine",Americas,547,MTC Solder,41.0,3080.36,19304.506
2018,1,1,1,"Aerospace, Defense & Marine",Americas,723,Harnesses / Kits,964.0,125728.61,20819.269
2015,1,3,11,"Aerospace, Defense & Marine",Americas,723,Harnesses / Kits,448.0,98345.16,18332.079
2015,2,5,21,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,3025.0,77623.41,17991.348
2017,1,3,11,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,1326.0,123517.48,19894.75
2019,1,3,11,"Aerospace, Defense & Marine",Americas,F43,High Voltage Communication Relays - Kilovac,8.0,1989.24,21706.532
2017,2,5,19,"Aerospace, Defense & Marine",Americas,JD8,Signal,440446.0,94460.95,19148.194
2018,4,12,52,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,2388.0,125627.9,20687.278
2019,4,10,41,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,5894.0,112699.14,21531.839
2016,4,10,43,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,22538.0,202109.6,18775.459
2017,2,6,25,"Aerospace, Defense & Marine",Americas,LV6,Special Charges,9.0,53035.76,19148.194
2019,4,11,47,"Aerospace, Defense & Marine",Americas,K79,Rochester EOP,127624.676,380513.0,21531.839
2015,1,2,5,"Aerospace, Defense & Marine",Americas,K79,Rochester EOP,21404.2,74750.0,18332.079
2017,3,7,28,"Aerospace, Defense & Marine",Americas,K79,Rochester EOP,17060.368,21840.0,19304.506
2019,1,3,13,"Aerospace, Defense & Marine",Americas,LU4,Underwater Mateable Connector,84.0,1421512.0,21706.532
2019,2,4,15,"Aerospace, Defense & Marine",Americas,LV6,Special Charges,1.0,397.27,21013.085
2015,2,4,14,"Aerospace, Defense & Marine",Americas,JB6,Rochester Ocean Research,2000.0,2220.0,17991.348
2015,1,1,4,"Aerospace, Defense & Marine",Americas,JD8,Signal,1929545.0,332512.93,18332.079
2018,1,2,5,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,33425.0,314695.31,20819.269
2019,2,4,15,"Aerospace, Defense & Marine",Americas,JF9,CTJ AS81714 Series II,2557.0,72969.31,21013.085
2015,1,3,12,"Aerospace, Defense & Marine",Americas,A47,Relays/Timers -- Agastat,945.0,148874.42,18332.079
2016,2,4,14,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,2969.0,13936.22,18425.306
2018,4,11,44,"Aerospace, Defense & Marine",Americas,JD1,ABC,2150.0,82903.79,20687.278
2018,2,6,25,"Aerospace, Defense & Marine",Americas,JF9,CTJ AS81714 Series II,1457.0,31013.41,20155.486
2019,1,1,2,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,2160.0,100852.19,21706.532
2018,2,6,23,"Aerospace, Defense & Marine",Americas,JD1,ABC,5824.0,139363.52,20155.486
2018,4,12,49,"Aerospace, Defense & Marine",Americas,712,System 6,150250.0,55226.81,20687.278
2018,4,10,42,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,78.0,2944.24,20687.278
2015,1,3,13,"Aerospace, Defense & Marine",Americas,746,Flex Power Cable,14028.42,216047.39,18332.079
2015,4,12,49,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,6995.0,236824.62,18306.96
2017,2,5,19,"Aerospace, Defense & Marine",Americas,LV6,Special Charges,5.0,17573.12,19148.194
2019,3,7,30,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,6401.0,210087.79,21272.448
2016,3,9,37,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,21917.0,310121.23,18611.617
2016,2,6,24,"Aerospace, Defense & Marine",Americas,A15,MTC Crimp,178447.0,324677.39,18425.306
2016,3,8,34,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,1092.0,31402.58,18611.617
2018,1,2,8,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,60.0,2600.2,20819.269
2018,4,10,41,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,23993.0,284706.61,20687.278
2018,3,7,28,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,13935.0,214287.64,20470.197
2018,1,2,9,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,42445.0,256837.94,20819.269
2015,1,1,2,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,3175.0,79059.66,18332.079
2017,4,11,45,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,32346.6,265907.0,19561.896
2017,2,6,25,"Aerospace, Defense & Marine",Americas,A15,MTC Crimp,167143.0,417874.24,19148.194
2018,4,11,48,"Aerospace, Defense & Marine",Americas,088,G Series Products,42000.0,65566.1,20687.278
2018,4,10,41,"Aerospace, Defense & Marine",Americas,547,MTC Solder,1071.0,39533.81,20687.278
2019,2,4,14,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,1466.0,81126.47,21013.085
2018,2,5,22,"Aerospace, Defense & Marine",Americas,088,G Series Products,44690.0,50520.73,20155.486
2015,1,1,2,"Aerospace, Defense & Marine",Americas,723,Harnesses / Kits,282.0,13173.93,18332.079
2018,3,7,28,"Aerospace, Defense & Marine",Americas,547,MTC Solder,1536.0,71307.2,20470.197
