fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,CSENT,Interest_rate,Inflation
2017,2,6,23,Appliances,Americas,J35,Power Triple Lock,1333290.0,52195.1,19148.194,95.0,1.75,2.13853
2019,1,3,11,Appliances,Americas,344,Hermetic Cluster Blocks,4026580.0,62229.41,21706.532,98.4,3.0,2.399684
2019,3,8,31,Appliances,Americas,G59,Appliance Miniature PCB Relays,106076.0,51008.2,21272.448,89.8,2.75,2.629246
2016,4,10,43,Appliances,Americas,G59,Appliance Miniature PCB Relays,46360.0,29376.49,18775.459,87.2,1.0,2.5095184
2017,1,2,6,Appliances,Americas,G59,Appliance Miniature PCB Relays,37250.0,10822.47,19894.75,96.3,1.25,2.67446
2017,4,10,43,Appliances,Americas,442,Power Key 5.0,742800.0,26103.38,19561.896,100.7,1.75,2.192819
2016,4,12,52,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,690868.0,57971.52,18775.459,98.2,1.25,2.594944
2020,1,3,12,Appliances,Americas,094,"Pins, Plugs and Receptacles",148000.0,-1467.21,21704.706,89.1,0.25,2.647379
2020,4,12,51,Appliances,Americas,Z27,Relay T92,32280.0,78311.76,21362.428,80.7,0.25,1.716599
2021,3,7,30,Appliances,Americas,G31,VAL-U-LOK,2166075.0,50833.56,23046.934,81.2,0.25,2.315464
2021,1,1,1,Appliances,Americas,715,Polyolefins ETC,1072649.0,145702.63,24349.121,79.0,0.25,1.517012
2022,2,6,25,Appliances,Americas,G31,VAL-U-LOK,3403720.0,73024.26,24740.48,50.0,,5.422337
2022,2,6,24,Appliances,Americas,239,MICRO MATE-N-LOK,3719760.0,128639.26,24740.48,50.0,,5.422337
2020,1,2,7,Appliances,Americas,607,DW-All Other Dual Wall,526030.6,108522.22,21704.706,101.0,2.25,2.812936
2019,4,10,40,Appliances,Americas,G59,Appliance Miniature PCB Relays,63314.0,7611.98,21531.839,95.5,2.25,2.733341
2015,4,11,47,Appliances,Americas,G59,Appliance Miniature PCB Relays,134500.0,86392.26,18306.96,91.3,0.75,2.4052606
2015,1,2,5,Appliances,Americas,G59,Appliance Miniature PCB Relays,13300.0,7900.68,18332.079,95.4,0.75,1.9819969
2019,1,3,10,Appliances,Americas,442,Power Key 5.0,976735.0,21325.13,21706.532,98.4,3.0,2.399684
2021,4,11,45,Appliances,Americas,715,Polyolefins ETC,1915669.0,118709.4,23550.42,67.4,,3.21432
2022,4,12,51,Appliances,Americas,518,AMP Univ. and Power Double Lock,2924440.0,147213.45,25723.941,59.7,,6.617223
2022,1,2,9,Appliances,Americas,239,MICRO MATE-N-LOK,1442496.0,241654.44,26144.956,62.8,,4.30707
2020,1,3,11,Appliances,Americas,104,MTA 100 & CSTII 100,2844892.0,92954.55,21704.706,89.1,0.25,2.647379
2020,2,5,20,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,2491298.0,268506.46,21538.032,72.3,0.25,2.084208
2020,2,5,19,Appliances,Americas,239,MICRO MATE-N-LOK,411544.0,49382.06,21538.032,72.3,0.25,2.084208
2020,1,3,12,Appliances,Americas,239,MICRO MATE-N-LOK,774334.0,65438.24,21704.706,89.1,0.25,2.647379
2020,3,8,35,Appliances,Americas,239,MICRO MATE-N-LOK,525205.0,116506.98,19636.731,74.1,0.25,2.288978
2020,3,7,27,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,23912138.0,461772.92,19636.731,72.5,0.25,2.348857
2020,4,12,51,Appliances,Americas,J35,Power Triple Lock,3315242.0,85003.65,21362.428,80.7,0.25,1.716599
2022,3,8,31,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1796410.0,102286.2,25248.476,58.2,,5.991705
2022,4,10,43,Appliances,Americas,100,Economy Power,2485967.0,66207.53,25723.941,59.9,,6.364809
2022,3,8,31,Appliances,Americas,326,FASTIN-FASTON,3040735.0,137157.34,25248.476,58.2,,5.991705
2022,1,2,8,Appliances,Americas,212,Open Barrel Rings & Spades,7247861.0,250383.07,26144.956,62.8,,4.30707
2022,2,4,15,Appliances,Americas,103,MTA & SL 156,1465585.0,133145.71,24740.48,65.2,,4.721803
2022,2,6,23,Appliances,Americas,518,AMP Univ. and Power Double Lock,3020081.0,38442.18,24740.48,50.0,,5.422337
2022,4,11,47,Appliances,Americas,766,DW-ES/Auto Splice Seal,726800.0,198267.39,25723.941,56.8,,6.471178
2022,4,11,48,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,193700.18,25723.941,56.8,,6.471178
2020,1,3,11,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,22988.67,21704.706,89.1,0.25,2.647379
2020,3,8,31,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,-32328.65,19636.731,74.1,0.25,2.288978
2021,2,5,20,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,331491.22,22313.85,82.9,0.25,2.623164
2016,2,6,26,Appliances,Americas,239,MICRO MATE-N-LOK,1552546.0,119416.46,18425.306,93.5,1.0,2.5689022
2019,1,3,10,Appliances,Americas,G59,Appliance Miniature PCB Relays,48109.0,15710.51,21706.532,98.4,3.0,2.399684
2015,4,10,41,Appliances,Americas,095,Appliance Connectors,597700.0,46296.06,18306.96,90.0,0.75,2.3462109
2015,1,2,8,Appliances,Americas,223,AMPLIVAR,11454225.0,110343.37,18332.079,95.4,0.75,1.9819969
2015,2,6,23,Appliances,Americas,223,AMPLIVAR,6017010.0,22250.54,17991.348,96.1,0.75,2.1147326
2019,3,9,38,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,14281370.0,419571.59,21272.448,93.2,2.5,2.606767
2019,2,5,18,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,881990.0,48831.63,21013.085,100.0,3.0,2.39723
2017,1,2,7,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,2605691.0,247792.59,19894.75,96.3,1.25,2.67446
2017,3,9,38,Appliances,Americas,100,Economy Power,2495832.0,58718.41,19304.506,95.1,1.75,2.106697
2017,2,5,20,Appliances,Americas,223,AMPLIVAR,8310120.0,44122.74,19148.194,97.1,1.5,2.155911
2016,4,10,41,Appliances,Americas,100,Economy Power,1306842.0,17744.94,18775.459,87.2,1.0,2.5095184
2016,1,2,8,Appliances,Americas,103,MTA & SL 156,5870715.0,143565.37,18968.041,91.7,1.0,2.5442092
2015,4,11,44,Appliances,Americas,G31,VAL-U-LOK,1931706.0,25578.25,18306.96,91.3,0.75,2.4052606
2020,3,9,38,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,10264.03,19636.731,80.4,0.25,2.077391
2021,2,4,16,Appliances,Americas,518,AMP Univ. and Power Double Lock,3633241.0,112055.85,22313.85,88.3,0.25,2.262331
2020,3,8,31,Appliances,Americas,212,Open Barrel Rings & Spades,2477280.0,43250.21,19636.731,74.1,0.25,2.288978
2020,1,3,13,Appliances,Americas,223,AMPLIVAR,3228550.0,9155.42,21704.706,89.1,0.25,2.647379
2020,1,1,3,Appliances,Americas,344,Hermetic Cluster Blocks,3012415.0,78185.79,21704.706,99.8,2.25,2.797067
2020,2,4,14,Appliances,Americas,212,Open Barrel Rings & Spades,1446275.0,27950.63,21538.032,71.8,0.25,2.226352
2018,3,8,31,Appliances,Americas,715,Polyolefins ETC,1707344.252,269266.14,20470.197,96.2,2.5,2.432878
2018,2,4,14,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,20956907.0,374622.76,20155.486,98.8,2.25,2.493423
2019,3,8,32,Appliances,Americas,442,Power Key 5.0,2050800.0,41668.0,21272.448,89.8,2.75,2.629246
2018,4,10,40,Appliances,Americas,239,MICRO MATE-N-LOK,731611.0,42044.77,20687.278,98.6,2.75,2.414988
2017,1,1,3,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1325316.0,66462.7,19894.75,98.5,1.25,2.661562
2016,2,4,17,Appliances,Americas,442,Power Key 5.0,138000.0,4154.38,18425.306,89.0,1.0,2.537996
2015,2,5,20,Appliances,Americas,766,DW-ES/Auto Splice Seal,1082405.8,83712.98,17991.348,90.7,0.75,2.0668869
2015,4,12,50,Appliances,Americas,095,Appliance Connectors,803600.0,81016.17,18306.96,92.6,1.0,2.4436874
2019,4,11,44,Appliances,Americas,G31,VAL-U-LOK,715552.0,17580.95,21531.839,96.8,2.25,2.768217
2016,2,5,22,Appliances,Americas,095,Appliance Connectors,383400.0,36356.41,18425.306,94.7,1.0,2.5711572
2019,1,1,2,Appliances,Americas,095,Appliance Connectors,526400.0,53906.28,21706.532,91.2,3.0,2.385533
2015,4,12,51,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,32642198.0,929206.76,18306.96,92.6,1.0,2.4436874
2015,3,7,29,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,6313370.0,391080.9,18193.707,93.1,0.75,2.1414477
2015,3,7,28,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,3382394.0,163137.57,18193.707,93.1,0.75,2.1414477
2015,2,5,18,Appliances,Americas,Z27,Relay T92,26970.0,63276.3,17991.348,90.7,0.75,2.0668869
2017,1,2,5,Appliances,Americas,223,AMPLIVAR,8985012.0,14007.02,19894.75,96.3,1.25,2.67446
2019,1,3,13,Appliances,Americas,Z27,Relay T92,2400.0,6235.44,21706.532,98.4,3.0,2.399684
2017,2,6,23,Appliances,Americas,223,AMPLIVAR,7196181.0,55904.02,19148.194,95.0,1.75,2.13853
2017,2,5,21,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,10711989.0,571211.09,19148.194,97.1,1.5,2.155911
2019,1,1,4,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1607458.0,150666.89,21706.532,91.2,3.0,2.385533
2016,2,4,14,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1400195.0,186034.09,18425.306,89.0,1.0,2.537996
2015,2,6,25,Appliances,Americas,100,Economy Power,1596004.0,53522.74,17991.348,96.1,0.75,2.1147326
2019,2,6,23,Appliances,Americas,J35,Power Triple Lock,2177630.0,61587.41,21013.085,98.2,3.0,2.421751
2022,3,8,35,Appliances,Americas,518,AMP Univ. and Power Double Lock,3395754.0,58808.77,25248.476,58.2,,5.991705
2020,1,1,3,Appliances,Americas,239,MICRO MATE-N-LOK,1332759.0,75957.81,21704.706,99.8,2.25,2.797067
2020,4,11,48,Appliances,Americas,100,Economy Power,3421164.0,57227.27,21362.428,76.9,0.25,1.798587
2018,1,3,10,Appliances,Americas,766,DW-ES/Auto Splice Seal,2555141.0,170344.41,20819.269,101.4,2.25,2.369197
2015,4,10,40,Appliances,Americas,326,FASTIN-FASTON,2427800.0,76406.86,18306.96,90.0,0.75,2.3462109
2015,2,4,17,Appliances,Americas,326,FASTIN-FASTON,2417413.0,68411.27,17991.348,95.9,0.75,2.0631236
2017,1,1,2,Appliances,Americas,327,Positive Lock,2719230.0,72234.4,19894.75,98.5,1.25,2.661562
2015,1,1,4,Appliances,Americas,766,DW-ES/Auto Splice Seal,1417668.0,141693.5,18332.079,98.1,0.75,1.985653
2015,2,6,24,Appliances,Americas,217,Ultra-Fast,5957600.0,207564.25,17991.348,96.1,0.75,2.1147326
2015,2,6,25,Appliances,Americas,326,FASTIN-FASTON,2089898.0,60932.96,17991.348,96.1,0.75,2.1147326
2015,3,7,29,Appliances,Americas,326,FASTIN-FASTON,1933829.0,55917.4,18193.707,93.1,0.75,2.1414477
2016,4,10,41,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,23908202.0,417267.13,18775.459,87.2,1.0,2.5095184
2015,3,8,33,Appliances,Americas,327,Positive Lock,3975967.0,62588.96,18193.707,91.9,0.75,2.1802398
2019,3,9,39,Appliances,Americas,766,DW-ES/Auto Splice Seal,1180238.0,211130.95,21272.448,93.2,2.5,2.606767
2018,3,8,35,Appliances,Americas,766,DW-ES/Auto Splice Seal,780680.0,8267.35,20470.197,96.2,2.5,2.432878
2016,4,12,49,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1942340.0,71204.88,18775.459,98.2,1.25,2.594944
2016,1,2,7,Appliances,Americas,766,DW-ES/Auto Splice Seal,1553950.0,112180.68,18968.041,91.7,1.0,2.5442092
2015,4,11,48,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,22598834.0,370874.32,18306.96,91.3,0.75,2.4052606
2016,3,9,38,Appliances,Americas,326,FASTIN-FASTON,1790852.0,58119.82,18611.617,91.2,1.0,2.6321032
2016,2,6,25,Appliances,Americas,327,Positive Lock,4126947.0,69179.72,18425.306,93.5,1.0,2.5689022
2016,3,9,39,Appliances,Americas,766,DW-ES/Auto Splice Seal,1187450.8,143309.1,18611.617,91.2,1.0,2.6321032
2018,3,9,39,Appliances,Americas,Z27,Relay T92,24840.0,62941.93,20470.197,100.1,2.75,2.461933
2018,1,3,10,Appliances,Americas,Z27,Relay T92,25050.0,56632.62,20819.269,101.4,2.25,2.369197
2017,4,10,40,Appliances,Americas,217,Ultra-Fast,7928805.0,315091.89,19561.896,100.7,1.75,2.192819
2019,3,7,28,Appliances,Americas,217,Ultra-Fast,6151902.0,234707.34,21272.448,98.4,3.0,2.460848
2017,3,7,27,Appliances,Americas,327,Positive Lock,3284338.0,66094.7,19304.506,93.4,1.75,2.146769
2018,3,8,32,Appliances,Americas,223,AMPLIVAR,8871709.0,81434.68,20470.197,96.2,2.5,2.432878
2017,2,5,22,Appliances,Americas,212,Open Barrel Rings & Spades,4712600.0,105031.31,19148.194,97.1,1.5,2.155911
2018,3,7,30,Appliances,Americas,212,Open Barrel Rings & Spades,6083608.0,96605.76,20470.197,97.9,2.5,2.519634
2018,2,5,22,Appliances,Americas,327,Positive Lock,4872652.0,99980.72,20155.486,98.0,2.25,2.544991
2019,4,10,40,Appliances,Americas,223,AMPLIVAR,5282904.0,31604.87,21531.839,95.5,2.25,2.733341
2017,4,12,52,Appliances,Americas,094,"Pins, Plugs and Receptacles",2254922.0,62220.16,19561.896,95.9,2.0,2.125472
2019,3,7,27,Appliances,Americas,607,DW-All Other Dual Wall,380541.28,300378.19,21272.448,98.4,3.0,2.460848
2019,2,4,14,Appliances,Americas,094,"Pins, Plugs and Receptacles",1273534.0,46274.13,21013.085,97.2,3.0,2.407927
2018,3,8,31,Appliances,Americas,094,"Pins, Plugs and Receptacles",1432020.0,33216.8,20470.197,96.2,2.5,2.432878
2021,3,7,29,Appliances,Americas,J35,Power Triple Lock,5669697.0,205226.74,23046.934,81.2,0.25,2.315464
2022,2,5,20,Appliances,Americas,G59,Appliance Miniature PCB Relays,114564.0,61912.7,24740.48,58.4,,4.985582
2020,1,2,7,Appliances,Americas,104,MTA 100 & CSTII 100,2248079.0,84698.26,21704.706,101.0,2.25,2.812936
2020,3,9,38,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,2005627.0,106375.38,19636.731,80.4,0.25,2.077391
2021,3,8,33,Appliances,Americas,715,Polyolefins ETC,3804761.0,346632.99,23046.934,70.3,0.25,2.343064
2022,4,10,43,Appliances,Americas,104,MTA 100 & CSTII 100,4719718.0,362510.9,25723.941,59.9,,6.364809
2022,2,6,26,Appliances,Americas,223,AMPLIVAR,8308800.0,64881.81,24740.48,50.0,,5.422337
2022,3,8,31,Appliances,Americas,JJ4,RAST 5 non-IDC,1311550.0,97035.1,25248.476,58.2,,5.991705
2022,4,11,44,Appliances,Americas,JJ4,RAST 5 non-IDC,787381.0,50226.87,25723.941,56.8,,6.471178
2020,3,9,36,Appliances,Americas,518,AMP Univ. and Power Double Lock,1685996.0,48613.58,19636.731,80.4,0.25,2.077391
2020,3,8,31,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,614402.0,50041.05,19636.731,74.1,0.25,2.288978
2020,1,1,1,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,174456.19,21704.706,99.8,2.25,2.797067
2020,4,10,43,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,31425.17,21362.428,81.8,0.25,1.842159
2019,1,2,6,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,29687877.0,561068.44,21706.532,93.8,3.0,2.376648
2015,2,6,25,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,27662593.0,355817.98,17991.348,96.1,0.75,2.1147326
2015,2,4,15,Appliances,Americas,766,DW-ES/Auto Splice Seal,1714807.0,106714.65,17991.348,95.9,0.75,2.0631236
2019,1,3,13,Appliances,Americas,217,Ultra-Fast,8780150.0,569406.14,21706.532,98.4,3.0,2.399684
2018,3,8,32,Appliances,Americas,327,Positive Lock,4954427.0,100882.73,20470.197,96.2,2.5,2.432878
2015,2,5,22,Appliances,Americas,212,Open Barrel Rings & Spades,5220861.0,132150.97,17991.348,90.7,0.75,2.0668869
2018,2,5,19,Appliances,Americas,213,Miscellaneous Open Barrel Products,4210750.0,65891.05,20155.486,98.0,2.25,2.544991
2015,1,3,12,Appliances,Americas,212,Open Barrel Rings & Spades,8729677.0,171548.73,18332.079,93.0,0.75,1.9991371
2019,1,2,8,Appliances,Americas,607,DW-All Other Dual Wall,125375.552,95378.44,21706.532,93.8,3.0,2.376648
2019,1,3,12,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,287262.66,21706.532,98.4,3.0,2.399684
2017,4,11,45,Appliances,Americas,094,"Pins, Plugs and Receptacles",2222460.0,67372.9,19561.896,98.5,1.75,2.115031
2018,3,7,28,Appliances,Americas,607,DW-All Other Dual Wall,1542112.995,461260.07,20470.197,97.9,2.5,2.519634
2018,4,11,44,Appliances,Americas,607,DW-All Other Dual Wall,1005156.808,254193.08,20687.278,97.5,2.75,2.476794
2018,4,12,51,Appliances,Americas,715,Polyolefins ETC,1751007.908,128510.38,20687.278,98.3,3.0,2.46437
2018,3,7,28,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,29890842.0,633456.71,20470.197,97.9,2.5,2.519634
2018,1,3,11,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,34031021.0,558118.85,20819.269,101.4,2.25,2.369197
2017,1,2,6,Appliances,Americas,715,Polyolefins ETC,2304087.745,193324.62,19894.75,96.3,1.25,2.67446
2015,2,4,16,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,17413378.0,310706.46,17991.348,95.9,0.75,2.0631236
2015,3,7,30,Appliances,Americas,239,MICRO MATE-N-LOK,1058654.0,86590.97,18193.707,93.1,0.75,2.1414477
2019,1,2,9,Appliances,Americas,100,Economy Power,2582979.0,60214.21,21706.532,93.8,3.0,2.376648
2017,4,12,50,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,2275600.0,87281.98,19561.896,95.9,2.0,2.125472
2017,1,2,5,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1812800.0,64101.8,19894.75,96.3,1.25,2.67446
2018,3,9,36,Appliances,Americas,JJ4,RAST 5 non-IDC,2238960.0,96033.09,20470.197,100.1,2.75,2.461933
2015,2,5,20,Appliances,Americas,094,"Pins, Plugs and Receptacles",1598600.0,46157.2,17991.348,90.7,0.75,2.0668869
2018,4,11,47,Appliances,Americas,212,Open Barrel Rings & Spades,5086475.0,146440.2,20687.278,97.5,2.75,2.476794
2018,3,8,35,Appliances,Americas,094,"Pins, Plugs and Receptacles",1417012.0,20794.56,20470.197,96.2,2.5,2.432878
2015,1,2,6,Appliances,Americas,607,DW-All Other Dual Wall,541843.975,209304.41,18332.079,95.4,0.75,1.9819969
2019,3,7,30,Appliances,Americas,213,Miscellaneous Open Barrel Products,3880475.0,54937.18,21272.448,98.4,3.0,2.460848
2019,1,2,6,Appliances,Americas,094,"Pins, Plugs and Receptacles",2262500.0,23282.64,21706.532,93.8,3.0,2.376648
2015,2,6,23,Appliances,Americas,JJ4,RAST 5 non-IDC,1298065.0,71282.01,17991.348,96.1,0.75,2.1147326
2018,4,11,48,Appliances,Americas,JJ4,RAST 5 non-IDC,1571258.0,88810.36,20687.278,97.5,2.75,2.476794
2015,1,2,7,Appliances,Americas,JJ4,RAST 5 non-IDC,1527908.0,70287.32,18332.079,95.4,0.75,1.9819969
2019,2,5,18,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,192687.08,21013.085,100.0,3.0,2.39723
2019,2,5,19,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,111499.96,21013.085,100.0,3.0,2.39723
2016,4,11,44,Appliances,Americas,766,DW-ES/Auto Splice Seal,1507475.0,73632.43,18775.459,93.8,1.0,2.5258013
2016,3,8,34,Appliances,Americas,766,DW-ES/Auto Splice Seal,1196008.6,193810.01,18611.617,89.8,1.0,2.7228064
2016,1,1,4,Appliances,Americas,104,MTA 100 & CSTII 100,3286736.0,165850.13,18968.041,92.0,1.0,2.4667222
2015,3,7,27,Appliances,Americas,104,MTA 100 & CSTII 100,4383255.0,167909.8,18193.707,93.1,0.75,2.1414477
2018,3,9,39,Appliances,Americas,095,Appliance Connectors,309000.0,35153.39,20470.197,100.1,2.75,2.461933
2017,1,3,10,Appliances,Americas,104,MTA 100 & CSTII 100,1629637.0,129002.05,19894.75,96.9,1.5,2.453344
2015,1,2,5,Appliances,Americas,344,Hermetic Cluster Blocks,1361392.0,66037.49,18332.079,95.4,0.75,1.9819969
2017,4,10,41,Appliances,Americas,344,Hermetic Cluster Blocks,2709500.0,56106.42,19561.896,100.7,1.75,2.192819
2016,3,9,38,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1087741.0,78118.28,18611.617,91.2,1.0,2.6321032
2017,1,3,13,Appliances,Americas,239,MICRO MATE-N-LOK,1124109.0,132845.81,19894.75,96.9,1.5,2.453344
2016,4,12,49,Appliances,Americas,344,Hermetic Cluster Blocks,2355000.0,52438.39,18775.459,98.2,1.25,2.594944
2015,4,11,46,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1788130.0,106306.37,18306.96,91.3,0.75,2.4052606
2015,2,5,22,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,2904400.0,130855.89,17991.348,90.7,0.75,2.0668869
2016,1,2,8,Appliances,Americas,Z27,Relay T92,14040.0,34500.6,18968.041,91.7,1.0,2.5442092
2015,4,10,40,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,9415563.0,351088.11,18306.96,90.0,0.75,2.3462109
2015,3,9,36,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1586643.0,109064.23,18193.707,87.2,0.75,2.279431
2015,3,7,27,Appliances,Americas,518,AMP Univ. and Power Double Lock,933848.0,19172.67,18193.707,93.1,0.75,2.1414477
2018,4,11,45,Appliances,Americas,104,MTA 100 & CSTII 100,4382318.0,177426.39,20687.278,97.5,2.75,2.476794
2018,2,4,16,Appliances,Americas,104,MTA 100 & CSTII 100,1780622.0,132382.14,20155.486,98.8,2.25,2.493423
2016,2,5,18,Appliances,Americas,095,Appliance Connectors,155800.0,20014.27,18425.306,94.7,1.0,2.5711572
2017,3,7,30,Appliances,Americas,Z27,Relay T92,17010.0,38693.4,19304.506,93.4,1.75,2.146769
2019,2,5,21,Appliances,Americas,223,AMPLIVAR,5408000.0,33877.18,21013.085,100.0,3.0,2.39723
2015,2,5,18,Appliances,Americas,095,Appliance Connectors,399600.0,14028.98,17991.348,90.7,0.75,2.0668869
2017,2,5,19,Appliances,Americas,223,AMPLIVAR,4145325.0,28967.66,19148.194,97.1,1.5,2.155911
2015,4,12,50,Appliances,Americas,Z27,Relay T92,5550.0,13684.5,18306.96,92.6,1.0,2.4436874
2019,1,2,6,Appliances,Americas,G31,VAL-U-LOK,1266208.0,35395.2,21706.532,93.8,3.0,2.376648
2015,3,7,30,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1598843.0,100711.25,18193.707,93.1,0.75,2.1414477
2016,3,8,34,Appliances,Americas,103,MTA & SL 156,4121929.0,137842.83,18611.617,89.8,1.0,2.7228064
2016,2,6,25,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,2442825.0,374317.35,18425.306,93.5,1.0,2.5689022
2018,1,2,9,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,14004264.0,720533.43,20819.269,99.7,2.0,2.131896
2015,1,2,8,Appliances,Americas,103,MTA & SL 156,2288322.0,128261.11,18332.079,95.4,0.75,1.9819969
2016,2,4,16,Appliances,Americas,100,Economy Power,784479.0,34143.51,18425.306,89.0,1.0,2.537996
2016,4,12,53,Appliances,Americas,G59,Appliance Miniature PCB Relays,156506.0,82781.87,18775.459,98.2,1.25,2.594944
2015,3,9,38,Appliances,Americas,J35,Power Triple Lock,-2534000.0,-34842.92,18193.707,87.2,0.75,2.279431
2019,3,8,34,Appliances,Americas,442,Power Key 5.0,1946995.0,35531.37,21272.448,89.8,2.75,2.629246
2018,4,12,50,Appliances,Americas,442,Power Key 5.0,720040.0,10377.78,20687.278,98.3,3.0,2.46437
2019,1,3,13,Appliances,Americas,442,Power Key 5.0,398000.0,7440.64,21706.532,98.4,3.0,2.399684
2018,2,5,22,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,2335965.0,83004.32,20155.486,98.0,2.25,2.544991
2018,4,11,48,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,30713505.0,584047.39,20687.278,97.5,2.75,2.476794
2016,4,12,52,Appliances,Americas,212,Open Barrel Rings & Spades,8883217.0,190773.09,18775.459,98.2,1.25,2.594944
2015,4,11,45,Appliances,Americas,094,"Pins, Plugs and Receptacles",1081525.0,42518.99,18306.96,91.3,0.75,2.4052606
2019,1,1,1,Appliances,Americas,607,DW-All Other Dual Wall,805983.856,516552.78,21706.532,91.2,3.0,2.385533
2019,1,2,5,Appliances,Americas,212,Open Barrel Rings & Spades,8562235.0,241636.05,21706.532,93.8,3.0,2.376648
2017,2,5,20,Appliances,Americas,094,"Pins, Plugs and Receptacles",1639500.0,36910.19,19148.194,97.1,1.5,2.155911
2018,1,2,8,Appliances,Americas,518,AMP Univ. and Power Double Lock,2022855.0,39657.02,20819.269,99.7,2.0,2.131896
2018,4,11,48,Appliances,Americas,G31,VAL-U-LOK,2015862.0,102739.06,20687.278,97.5,2.75,2.476794
2019,3,9,37,Appliances,Americas,G31,VAL-U-LOK,2005782.0,60024.65,21272.448,93.2,2.5,2.606767
2018,2,5,18,Appliances,Americas,G31,VAL-U-LOK,2003232.0,43672.93,20155.486,98.0,2.25,2.544991
2019,4,11,46,Appliances,Americas,G31,VAL-U-LOK,1426933.0,43952.59,21531.839,96.8,2.25,2.768217
2018,1,3,13,Appliances,Americas,J35,Power Triple Lock,654100.0,15337.93,20819.269,101.4,2.25,2.369197
2019,3,7,29,Appliances,Americas,239,MICRO MATE-N-LOK,400738.0,59395.37,21272.448,98.4,3.0,2.460848
2019,1,3,10,Appliances,Americas,239,MICRO MATE-N-LOK,1336643.0,88140.53,21706.532,98.4,3.0,2.399684
2016,2,5,18,Appliances,Americas,G59,Appliance Miniature PCB Relays,44607.0,21649.11,18425.306,94.7,1.0,2.5711572
2019,1,1,3,Appliances,Americas,G59,Appliance Miniature PCB Relays,54037.0,17536.52,21706.532,91.2,3.0,2.385533
2017,1,3,10,Appliances,Americas,G59,Appliance Miniature PCB Relays,19001.0,7959.6,19894.75,96.9,1.5,2.453344
2019,2,4,15,Appliances,Americas,442,Power Key 5.0,1496454.0,40251.11,21013.085,97.2,3.0,2.407927
2018,3,7,29,Appliances,Americas,442,Power Key 5.0,1181240.0,36106.35,20470.197,97.9,2.5,2.519634
2016,3,8,32,Appliances,Americas,239,MICRO MATE-N-LOK,707496.0,64269.84,18611.617,89.8,1.0,2.7228064
2016,3,7,29,Appliances,Americas,239,MICRO MATE-N-LOK,870644.0,107036.15,18611.617,90.0,1.0,2.5758512
2016,4,10,40,Appliances,Americas,103,MTA & SL 156,3134327.0,103271.85,18775.459,87.2,1.0,2.5095184
