fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount
2021,2,4,17,Appliances,EMEA,607,DW-All Other Dual Wall,104391.000,48584.32
2021,4,11,44,Appliances,EMEA,G59,Appliance Miniature PCB Relays,405000.000,108368.30
2015,4,10,43,Appliances,EMEA,715,Polyolefins ETC,464195.450,114317.46
2019,2,5,19,Appliances,EMEA,326,FASTIN-FASTON,3954200.000,123791.35
2016,2,5,22,Appliances,EMEA,104,MTA 100 & CSTII 100,289500.000,11092.16
2022,2,5,18,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,8215200.000,228050.85
2022,4,11,44,Appliances,EMEA,326,FASTIN-FASTON,2790500.000,182103.47
2022,4,12,50,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,7226060.000,208114.65
2022,4,12,49,Appliances,EMEA,607,DW-All Other Dual Wall,125195.000,125119.01
2021,4,12,51,Appliances,EMEA,326,FASTIN-FASTON,2523200.000,142956.19
2021,4,12,52,Appliances,EMEA,326,FASTIN-FASTON,3404800.000,152242.28
2021,2,5,18,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,8080100.000,155154.96
2021,2,5,19,Appliances,EMEA,326,FASTIN-FASTON,2873900.000,111064.89
2021,1,1,2,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,4605090.000,192733.25
2021,3,8,33,Appliances,EMEA,344,Hermetic Cluster Blocks,4249400.000,95865.02
2022,3,9,38,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,906400.000,143540.66
2021,4,10,40,Appliances,EMEA,686,Single Wall Fluoropolymers HP,43297.000,51939.20
2021,1,1,4,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,936100.000,88355.90
2021,3,7,30,Appliances,EMEA,327,Positive Lock,2527600.000,61935.91
2022,2,4,15,Appliances,EMEA,715,Polyolefins ETC,333037.000,138966.95
2022,4,10,43,Appliances,EMEA,224,MAG-MATE,4544500.000,143132.66
2021,3,7,27,Appliances,EMEA,G60,Relay RT-Series,25000.000,15536.99
2015,3,7,28,Appliances,EMEA,N02,MQS - Connectors,229200.000,24090.98
2017,4,10,42,Appliances,EMEA,N02,MQS - Connectors,798000.000,58846.21
2019,3,7,30,Appliances,EMEA,N02,MQS - Connectors,207483.000,27741.16
2016,2,5,22,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3157656.000,189720.92
2017,1,1,2,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1377700.000,103558.30
2017,4,11,48,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,5005240.000,203691.51
2018,3,7,30,Appliances,EMEA,239,MICRO MATE-N-LOK,728411.000,42651.59
2019,2,6,25,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,4661365.000,289210.62
2016,3,9,38,Appliances,EMEA,344,Hermetic Cluster Blocks,1218000.000,39577.63
2015,2,5,22,Appliances,EMEA,G60,Relay RT-Series,58925.000,42472.93
2017,3,9,38,Appliances,EMEA,G60,Relay RT-Series,48100.000,32372.75
2015,2,4,15,Appliances,EMEA,Z24,Relay RZ-Series,115637.000,58030.85
2022,3,9,38,Appliances,EMEA,217,Ultra-Fast,781200.000,80668.03
2021,1,2,6,Appliances,EMEA,607,DW-All Other Dual Wall,41155.000,32712.41
2021,4,12,49,Appliances,EMEA,224,MAG-MATE,4492800.000,124041.05
2021,2,5,21,Appliances,EMEA,N02,MQS - Connectors,720200.000,64733.87
2021,1,2,8,Appliances,EMEA,N02,MQS - Connectors,659100.000,73455.63
2022,4,11,47,Appliances,EMEA,A07,Faston Power Relays,106412.000,113510.23
2022,3,8,33,Appliances,EMEA,394,RAST 5 Connectors,4208692.000,345583.14
2020,2,6,24,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6900400.000,175970.08
2022,1,3,11,Appliances,EMEA,Z34,Relay Special up to 8A,248640.000,62732.12
2022,3,9,39,Appliances,EMEA,Z34,Relay Special up to 8A,188250.000,51905.04
2015,1,1,2,Appliances,EMEA,N02,MQS - Connectors,98700.000,9379.83
2015,1,1,4,Appliances,EMEA,N02,MQS - Connectors,194700.000,17867.43
2016,3,7,27,Appliances,EMEA,104,MTA 100 & CSTII 100,153000.000,12192.44
2016,3,8,34,Appliances,EMEA,G59,Appliance Miniature PCB Relays,211950.000,63025.03
2018,2,4,15,Appliances,EMEA,715,Polyolefins ETC,439035.060,143776.34
2020,1,1,3,Appliances,EMEA,G60,Relay RT-Series,38300.000,30334.46
2020,4,11,46,Appliances,EMEA,607,DW-All Other Dual Wall,28524.000,41733.12
2020,1,3,10,Appliances,EMEA,224,MAG-MATE,3801936.000,96817.67
2020,3,7,30,Appliances,EMEA,224,MAG-MATE,2263000.000,53424.69
2021,4,11,44,Appliances,EMEA,607,DW-All Other Dual Wall,61710.000,107666.71
2021,4,11,45,Appliances,EMEA,JJ4,RAST 5 non-IDC,1992750.000,143972.13
2021,1,3,12,Appliances,EMEA,607,DW-All Other Dual Wall,80040.000,68264.71
2021,1,3,12,Appliances,EMEA,686,Single Wall Fluoropolymers HP,38030.000,19338.22
2021,2,5,21,Appliances,EMEA,G59,Appliance Miniature PCB Relays,159000.000,38575.72
2021,1,2,5,Appliances,EMEA,A07,Faston Power Relays,99894.000,96384.38
2022,2,4,14,Appliances,EMEA,326,FASTIN-FASTON,2077300.000,109782.98
2021,2,5,20,Appliances,EMEA,N05,Timer - Terminals,1371150.000,43281.28
2021,3,8,33,Appliances,EMEA,327,Positive Lock,4286400.000,97093.34
2022,1,1,4,Appliances,EMEA,607,DW-All Other Dual Wall,81934.000,95710.60
2021,3,8,32,Appliances,EMEA,394,RAST 5 Connectors,5586448.000,436271.70
2021,3,8,33,Appliances,EMEA,217,Ultra-Fast,628800.000,58324.67
2022,4,10,43,Appliances,EMEA,JJ4,RAST 5 non-IDC,1520200.000,168345.36
2021,2,4,15,Appliances,EMEA,607,DW-All Other Dual Wall,65481.000,50578.03
2021,4,10,42,Appliances,EMEA,A07,Faston Power Relays,180500.000,132108.84
2021,2,6,23,Appliances,EMEA,715,Polyolefins ETC,225290.102,120035.85
2020,4,12,50,Appliances,EMEA,Z24,Relay RZ-Series,96550.000,39954.65
2021,3,9,36,Appliances,EMEA,224,MAG-MATE,5985984.000,103418.55
2021,3,8,35,Appliances,EMEA,607,DW-All Other Dual Wall,48909.000,68083.27
2021,4,10,40,Appliances,EMEA,G59,Appliance Miniature PCB Relays,297880.000,73787.26
2022,4,11,47,Appliances,EMEA,344,Hermetic Cluster Blocks,1230120.000,33884.79
2022,2,5,18,Appliances,EMEA,217,Ultra-Fast,447000.000,42992.78
2022,1,1,3,Appliances,EMEA,JJ4,RAST 5 non-IDC,2586950.000,196798.99
2021,3,7,29,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1036900.000,151420.55
2021,2,5,22,Appliances,EMEA,224,MAG-MATE,8116500.000,190425.69
2021,2,5,19,Appliances,EMEA,G60,Relay RT-Series,61525.000,44299.06
2020,1,3,13,Appliances,EMEA,G60,Relay RT-Series,60000.000,30701.16
2022,1,2,8,Appliances,EMEA,Z34,Relay Special up to 8A,156480.000,39789.87
2022,3,9,37,Appliances,EMEA,Z34,Relay Special up to 8A,125760.000,35576.16
2020,4,11,47,Appliances,EMEA,G60,Relay RT-Series,37600.000,23361.06
2021,3,8,31,Appliances,EMEA,Z34,Relay Special up to 8A,141120.000,35766.56
2022,4,11,48,Appliances,EMEA,Z34,Relay Special up to 8A,32820.000,9534.64
2015,3,8,32,Appliances,EMEA,Z24,Relay RZ-Series,374532.000,185768.78
2016,4,12,52,Appliances,EMEA,G60,Relay RT-Series,22950.000,23763.87
2016,2,4,15,Appliances,EMEA,JK1,RAST Machines,1.000,664.19
2016,2,4,16,Appliances,EMEA,G60,Relay RT-Series,167500.000,108178.63
2017,1,1,2,Appliances,EMEA,Z24,Relay RZ-Series,376275.000,172055.09
2019,1,1,2,Appliances,EMEA,Z24,Relay RZ-Series,137300.000,59294.93
2017,2,4,14,Appliances,EMEA,Z24,Relay RZ-Series,83000.000,38891.20
2017,2,6,23,Appliances,EMEA,G60,Relay RT-Series,70700.000,43081.67
2018,2,5,21,Appliances,EMEA,G60,Relay RT-Series,58425.000,30390.19
2015,4,12,49,Appliances,EMEA,104,MTA 100 & CSTII 100,445400.000,65971.07
2018,2,5,19,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,3681000.000,204456.38
2016,4,10,40,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3740820.000,127762.10
2019,1,1,2,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,2219820.000,208423.65
2015,2,4,14,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,304100.000,18567.98
2021,3,7,27,Appliances,EMEA,405,RAST 2.5 Connectors,7843520.000,414357.18
2021,1,3,13,Appliances,EMEA,217,Ultra-Fast,203200.000,19699.03
2021,1,2,8,Appliances,EMEA,327,Positive Lock,5423000.000,97454.14
2021,2,5,21,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,3091600.000,232977.41
2021,4,10,40,Appliances,EMEA,715,Polyolefins ETC,396348.000,155105.38
2022,1,3,13,Appliances,EMEA,715,Polyolefins ETC,218828.102,86915.84
2022,2,6,26,Appliances,EMEA,394,RAST 5 Connectors,5562292.000,449164.34
2015,3,8,34,Appliances,EMEA,G60,Relay RT-Series,117375.000,72374.63
2020,2,4,16,Appliances,EMEA,104,MTA 100 & CSTII 100,981450.000,38511.99
2020,1,2,8,Appliances,EMEA,224,MAG-MATE,3736936.000,103839.99
2016,3,8,35,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,5829900.000,126629.76
2018,3,7,29,Appliances,EMEA,JJ4,RAST 5 non-IDC,2626580.000,117342.56
2016,3,7,27,Appliances,EMEA,326,FASTIN-FASTON,2960500.000,103258.68
2015,1,3,13,Appliances,EMEA,327,Positive Lock,712500.000,20329.34
2017,1,1,4,Appliances,EMEA,715,Polyolefins ETC,209912.384,69663.59
2019,2,6,24,Appliances,EMEA,326,FASTIN-FASTON,1579400.000,71407.97
2015,4,12,50,Appliances,EMEA,715,Polyolefins ETC,298707.000,65244.15
2015,4,12,51,Appliances,EMEA,104,MTA 100 & CSTII 100,689500.000,30728.26
2020,2,6,23,Appliances,EMEA,715,Polyolefins ETC,1079591.000,107015.28
2020,2,6,23,Appliances,EMEA,104,MTA 100 & CSTII 100,274425.000,25178.76
2020,4,10,43,Appliances,EMEA,104,MTA 100 & CSTII 100,356100.000,46583.61
2015,1,2,6,Appliances,EMEA,JJ4,RAST 5 non-IDC,636580.000,59022.14
2021,3,8,32,Appliances,EMEA,104,MTA 100 & CSTII 100,1199800.000,67332.36
2021,4,11,48,Appliances,EMEA,715,Polyolefins ETC,400037.000,119763.11
2022,3,8,32,Appliances,EMEA,104,MTA 100 & CSTII 100,821600.000,61653.02
2021,3,8,35,Appliances,EMEA,Z24,Relay RZ-Series,708525.000,294210.12
2021,1,3,10,Appliances,EMEA,Z24,Relay RZ-Series,414725.000,175539.32
2022,2,5,21,Appliances,EMEA,N05,Timer - Terminals,1170250.000,56750.36
2016,4,12,53,Appliances,EMEA,239,MICRO MATE-N-LOK,1488531.000,85895.64
2015,4,12,50,Appliances,EMEA,G60,Relay RT-Series,109225.000,79394.11
2020,4,12,49,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1456000.000,105800.79
2020,2,5,20,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3100590.000,206303.19
2022,4,10,40,Appliances,EMEA,394,RAST 5 Connectors,3676632.000,291067.31
2022,4,10,42,Appliances,EMEA,239,MICRO MATE-N-LOK,831723.000,156579.73
2022,2,4,17,Appliances,EMEA,686,Single Wall Fluoropolymers HP,66145.000,71592.52
2020,2,6,25,Appliances,EMEA,326,FASTIN-FASTON,1820530.000,85212.23
2020,2,6,24,Appliances,EMEA,326,FASTIN-FASTON,2523800.000,109925.54
2020,3,8,35,Appliances,EMEA,715,Polyolefins ETC,76162.512,41185.04
2020,4,12,51,Appliances,EMEA,607,DW-All Other Dual Wall,153474.000,91167.92
2020,3,9,37,Appliances,EMEA,N02,MQS - Connectors,67146.000,6214.69
2020,4,12,52,Appliances,EMEA,686,Single Wall Fluoropolymers HP,15796.000,25196.22
2022,4,11,47,Appliances,EMEA,686,Single Wall Fluoropolymers HP,15255.000,32909.30
2022,1,3,13,Appliances,EMEA,Z34,Relay Special up to 8A,31500.000,10745.41
2022,4,10,42,Appliances,EMEA,405,RAST 2.5 Connectors,5699334.000,277434.14
2021,2,6,24,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,453100.000,67638.79
2021,2,5,20,Appliances,EMEA,G59,Appliance Miniature PCB Relays,98000.000,19928.25
2021,1,3,10,Appliances,EMEA,686,Single Wall Fluoropolymers HP,21835.000,28689.23
2020,3,8,32,Appliances,EMEA,JJ4,RAST 5 non-IDC,1373980.000,65208.04
2020,3,7,30,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,2930995.000,263069.16
2022,1,2,8,Appliances,EMEA,G59,Appliance Miniature PCB Relays,197520.000,58385.04
2017,4,11,47,Appliances,EMEA,715,Polyolefins ETC,165320.840,55710.17
2021,3,7,27,Appliances,EMEA,239,MICRO MATE-N-LOK,1190653.000,65354.09
2021,2,6,25,Appliances,EMEA,A07,Faston Power Relays,299850.000,221469.17
2021,2,5,22,Appliances,EMEA,686,Single Wall Fluoropolymers HP,540568.000,52012.47
2022,1,1,4,Appliances,EMEA,326,FASTIN-FASTON,1272100.000,84496.23
2022,2,6,24,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,6195242.000,437936.58
2022,4,12,51,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,2510263.000,194516.98
2022,1,3,10,Appliances,EMEA,104,MTA 100 & CSTII 100,820525.000,58700.81
2022,1,2,9,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,2628248.000,186861.07
2022,4,12,52,Appliances,EMEA,Z34,Relay Special up to 8A,133440.000,37748.74
2016,4,11,45,Appliances,EMEA,G59,Appliance Miniature PCB Relays,148880.000,45305.55
2018,4,12,52,Appliances,EMEA,394,RAST 5 Connectors,4961016.000,401125.67
2015,1,1,1,Appliances,EMEA,394,RAST 5 Connectors,5128212.000,500779.88
2015,4,12,50,Appliances,EMEA,326,FASTIN-FASTON,1571000.000,66691.00
2015,4,12,50,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,5882773.000,119754.82
2017,2,6,24,Appliances,EMEA,394,RAST 5 Connectors,2765752.000,217680.80
2017,3,8,34,Appliances,EMEA,394,RAST 5 Connectors,4544664.000,335410.27
2015,1,1,2,Appliances,EMEA,394,RAST 5 Connectors,3168820.000,270979.77
2019,3,8,33,Appliances,EMEA,326,FASTIN-FASTON,2022400.000,90935.63
2017,3,7,27,Appliances,EMEA,327,Positive Lock,2728650.000,66017.72
2015,2,6,25,Appliances,EMEA,104,MTA 100 & CSTII 100,496800.000,28696.12
2018,2,6,26,Appliances,EMEA,104,MTA 100 & CSTII 100,668450.000,46879.82
2015,2,4,15,Appliances,EMEA,G60,Relay RT-Series,80750.000,65158.58
2021,1,3,13,Appliances,EMEA,715,Polyolefins ETC,190020.000,43427.23
2020,3,7,28,Appliances,EMEA,327,Positive Lock,483500.000,11772.39
2020,3,8,31,Appliances,EMEA,217,Ultra-Fast,353300.000,21746.67
2020,3,7,30,Appliances,EMEA,686,Single Wall Fluoropolymers HP,17654.000,20305.60
2020,1,2,5,Appliances,EMEA,Z24,Relay RZ-Series,296850.000,127368.98
2017,3,7,30,Appliances,EMEA,JJ4,RAST 5 non-IDC,1742600.000,106091.10
2019,1,3,11,Appliances,EMEA,394,RAST 5 Connectors,4037908.000,304811.87
2016,2,5,20,Appliances,EMEA,JJ4,RAST 5 non-IDC,1548570.000,101795.61
2018,2,6,26,Appliances,EMEA,394,RAST 5 Connectors,3525316.000,326611.78
2015,2,6,23,Appliances,EMEA,JJ4,RAST 5 non-IDC,2072350.000,106664.77
2016,1,1,2,Appliances,EMEA,JJ4,RAST 5 non-IDC,1116510.000,79162.12
2017,4,10,43,Appliances,EMEA,JJ4,RAST 5 non-IDC,2279300.000,136742.33
2022,1,3,12,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,5941920.000,192373.89
2021,3,8,35,Appliances,EMEA,224,MAG-MATE,12000292.000,290716.31
2021,4,10,41,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,8749305.000,471199.90
2021,1,2,7,Appliances,EMEA,344,Hermetic Cluster Blocks,2785200.000,78197.13
2021,4,10,41,Appliances,EMEA,239,MICRO MATE-N-LOK,1058729.000,89018.90
2021,3,7,30,Appliances,EMEA,A07,Faston Power Relays,108035.000,96689.72
2017,2,5,22,Appliances,EMEA,344,Hermetic Cluster Blocks,2612700.000,81093.66
2016,1,1,3,Appliances,EMEA,224,MAG-MATE,1810845.000,37643.72
2021,4,11,46,Appliances,EMEA,686,Single Wall Fluoropolymers HP,18448.000,30508.39
2022,1,1,2,Appliances,EMEA,326,FASTIN-FASTON,2210932.000,109988.49
2021,4,11,47,Appliances,EMEA,Z24,Relay RZ-Series,723025.000,311417.54
2022,4,11,45,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,676000.000,212234.36
2021,4,12,52,Appliances,EMEA,JK1,RAST Machines,0.000,0.00
2021,1,1,1,Appliances,EMEA,G60,Relay RT-Series,24025.000,21100.97
2022,1,3,13,Appliances,EMEA,Z24,Relay RZ-Series,888380.000,385941.62
2020,2,4,14,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,106500.000,5518.11
2020,1,2,9,Appliances,EMEA,239,MICRO MATE-N-LOK,883185.000,44419.01
2020,1,2,5,Appliances,EMEA,A07,Faston Power Relays,199100.000,157403.65
2017,4,12,52,Appliances,EMEA,JK1,RAST Machines,2.000,462278.06
2019,2,6,26,Appliances,EMEA,N02,MQS - Connectors,763383.000,65018.67
2017,4,12,49,Appliances,EMEA,224,MAG-MATE,5881000.000,128875.85
2016,4,11,47,Appliances,EMEA,224,MAG-MATE,5086000.000,113563.74
2015,2,6,23,Appliances,EMEA,A07,Faston Power Relays,208278.000,162918.09
2016,2,5,21,Appliances,EMEA,A07,Faston Power Relays,275948.000,265742.29
2017,2,5,22,Appliances,EMEA,JK1,RAST Machines,1.000,437369.70
2019,3,9,37,Appliances,EMEA,G59,Appliance Miniature PCB Relays,339000.000,101930.75
2019,4,11,48,Appliances,EMEA,Z34,Relay Special up to 8A,119460.000,30607.99
2021,4,11,48,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,7128148.000,412046.78
2021,3,9,39,Appliances,EMEA,344,Hermetic Cluster Blocks,2767500.000,49335.98
2022,1,1,4,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,7946500.000,244373.27
2021,2,4,16,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6535000.000,180710.33
2021,1,2,6,Appliances,EMEA,394,RAST 5 Connectors,4738803.000,343688.85
2021,1,2,9,Appliances,EMEA,326,FASTIN-FASTON,2690000.000,108617.73
2021,3,7,30,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,5030020.000,292358.06
2022,3,8,33,Appliances,EMEA,607,DW-All Other Dual Wall,390465.000,103739.71
2021,1,1,4,Appliances,EMEA,217,Ultra-Fast,359100.000,24985.85
2022,4,10,42,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,10165300.000,267420.90
2022,2,5,18,Appliances,EMEA,Z24,Relay RZ-Series,847500.000,408835.85
2021,3,7,28,Appliances,EMEA,N02,MQS - Connectors,465946.000,51376.97
2021,1,1,2,Appliances,EMEA,Z34,Relay Special up to 8A,254160.000,63645.55
2022,4,11,46,Appliances,EMEA,A07,Faston Power Relays,3900.000,4405.61
2021,4,10,43,Appliances,EMEA,A07,Faston Power Relays,75096.000,72672.48
2018,1,3,13,Appliances,EMEA,394,RAST 5 Connectors,2402092.000,206839.41
2015,3,9,38,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6846500.000,149998.33
2017,4,10,43,Appliances,EMEA,394,RAST 5 Connectors,4403044.000,337530.62
2018,1,1,4,Appliances,EMEA,326,FASTIN-FASTON,3792800.000,136075.61
2015,1,3,12,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,7226100.000,181085.00
2016,1,1,1,Appliances,EMEA,JJ4,RAST 5 non-IDC,1459960.000,104589.73
2019,1,1,2,Appliances,EMEA,326,FASTIN-FASTON,2365800.000,107343.69
2017,4,11,47,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,4819100.000,116177.44
2017,4,10,40,Appliances,EMEA,715,Polyolefins ETC,351542.600,122419.08
2015,4,11,47,Appliances,EMEA,N02,MQS - Connectors,244300.000,20644.96
2019,3,9,38,Appliances,EMEA,N02,MQS - Connectors,468523.000,33574.68
2018,3,8,31,Appliances,EMEA,N02,MQS - Connectors,212403.000,23041.07
2018,2,4,15,Appliances,EMEA,N02,MQS - Connectors,315400.000,27555.77
2018,1,2,8,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6522500.000,161957.88
2021,2,5,18,Appliances,EMEA,Z34,Relay Special up to 8A,212610.000,52567.97
2022,2,5,22,Appliances,EMEA,Z24,Relay RZ-Series,700750.000,284031.04
2021,3,8,32,Appliances,EMEA,A07,Faston Power Relays,19200.000,27571.84
2016,2,5,19,Appliances,EMEA,217,Ultra-Fast,602400.000,40412.96
2019,1,1,1,Appliances,EMEA,N02,MQS - Connectors,197903.000,30967.51
2016,1,3,13,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6081000.000,122460.15
2019,3,8,35,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,10208569.000,219876.96
2015,2,5,20,Appliances,EMEA,327,Positive Lock,1634500.000,48929.92
2016,1,3,13,Appliances,EMEA,326,FASTIN-FASTON,277100.000,14893.80
2018,3,9,36,Appliances,EMEA,217,Ultra-Fast,238100.000,21691.63
2017,4,12,52,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,9741700.000,225215.15
2017,1,2,9,Appliances,EMEA,JJ4,RAST 5 non-IDC,1202590.000,72896.48
2017,3,8,32,Appliances,EMEA,JJ4,RAST 5 non-IDC,485630.000,45775.83
2018,3,7,27,Appliances,EMEA,715,Polyolefins ETC,261243.880,86380.58
2018,2,6,23,Appliances,EMEA,715,Polyolefins ETC,238189.050,100449.34
2019,3,7,30,Appliances,EMEA,217,Ultra-Fast,171000.000,17682.12
2018,3,9,39,Appliances,EMEA,JJ4,RAST 5 non-IDC,2413950.000,157778.24
2021,3,7,30,Appliances,EMEA,326,FASTIN-FASTON,2227250.000,95381.21
2021,4,11,45,Appliances,EMEA,327,Positive Lock,3313200.000,97249.15
2022,4,11,47,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,7415000.000,224217.12
2021,2,6,24,Appliances,EMEA,326,FASTIN-FASTON,1893650.000,125354.24
2021,1,2,6,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,8138600.000,148226.21
2022,1,2,7,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,966100.000,119590.77
2022,4,12,50,Appliances,EMEA,326,FASTIN-FASTON,1602150.000,92656.08
2021,3,7,29,Appliances,EMEA,326,FASTIN-FASTON,1800200.000,76069.47
2021,3,9,38,Appliances,EMEA,326,FASTIN-FASTON,2000700.000,110045.91
2020,1,1,4,Appliances,EMEA,686,Single Wall Fluoropolymers HP,17525.000,24868.38
2022,4,12,49,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,10390000.000,292425.76
2021,1,3,10,Appliances,EMEA,394,RAST 5 Connectors,5955523.000,515644.93
2021,4,12,51,Appliances,EMEA,394,RAST 5 Connectors,4856852.000,355693.65
2021,1,1,2,Appliances,EMEA,104,MTA 100 & CSTII 100,891050.000,61566.15
2015,2,4,14,Appliances,EMEA,715,Polyolefins ETC,136677.504,80832.98
2021,2,6,25,Appliances,EMEA,G60,Relay RT-Series,14500.000,6782.15
2021,2,6,24,Appliances,EMEA,JJ4,RAST 5 non-IDC,1664890.000,134809.31
2021,2,5,22,Appliances,EMEA,326,FASTIN-FASTON,1022410.000,55667.59
2021,4,11,44,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,11163500.000,244679.19
2021,4,11,44,Appliances,EMEA,327,Positive Lock,4651300.000,100297.85
2021,1,3,11,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,5161432.000,318374.65
2022,1,3,12,Appliances,EMEA,715,Polyolefins ETC,663925.000,208670.91
2021,3,9,37,Appliances,EMEA,394,RAST 5 Connectors,4275532.000,321113.92
2022,2,5,19,Appliances,EMEA,224,MAG-MATE,3142440.000,73004.69
2022,2,6,23,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,13499500.000,340554.73
2021,4,10,41,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,7753500.000,204795.94
2022,2,4,16,Appliances,EMEA,326,FASTIN-FASTON,1872400.000,89371.12
2021,3,8,34,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,11048000.000,234147.44
2021,4,12,49,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,2180100.000,187392.16
2017,1,2,6,Appliances,EMEA,217,Ultra-Fast,163600.000,10176.01
2019,3,8,33,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1191300.000,139145.07
2018,4,10,42,Appliances,EMEA,715,Polyolefins ETC,465921.000,178740.64
2019,4,10,42,Appliances,EMEA,217,Ultra-Fast,175500.000,17541.80
2019,2,4,16,Appliances,EMEA,327,Positive Lock,2876700.000,94500.09
2018,4,11,46,Appliances,EMEA,327,Positive Lock,2219500.000,47371.75
2017,3,8,31,Appliances,EMEA,G60,Relay RT-Series,32550.000,26003.38
2016,1,1,1,Appliances,EMEA,686,Single Wall Fluoropolymers HP,11955.800,15444.62
2018,3,8,31,Appliances,EMEA,G60,Relay RT-Series,37525.000,25577.59
2018,3,9,38,Appliances,EMEA,G59,Appliance Miniature PCB Relays,100000.000,31303.66
2016,2,5,22,Appliances,EMEA,G60,Relay RT-Series,138725.000,81605.82
2019,4,11,46,Appliances,EMEA,A07,Faston Power Relays,27888.000,54273.96
2016,1,2,9,Appliances,EMEA,A07,Faston Power Relays,104624.000,121398.63
2021,2,6,26,Appliances,EMEA,239,MICRO MATE-N-LOK,1626301.000,86567.58
2021,2,4,14,Appliances,EMEA,JJ4,RAST 5 non-IDC,550800.000,47428.33
2022,3,7,30,Appliances,EMEA,715,Polyolefins ETC,295911.000,67600.63
2022,2,6,26,Appliances,EMEA,715,Polyolefins ETC,543141.000,92896.72
2020,1,3,12,Appliances,EMEA,405,RAST 2.5 Connectors,5358756.000,259987.61
2020,3,8,31,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,942820.000,139688.77
2020,3,9,36,Appliances,EMEA,G59,Appliance Miniature PCB Relays,96000.000,29191.54
2018,3,7,27,Appliances,EMEA,Z24,Relay RZ-Series,316625.000,135498.21
2019,4,11,45,Appliances,EMEA,Z24,Relay RZ-Series,201950.000,83096.60
2020,3,8,32,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,4100500.000,88949.04
2020,2,4,16,Appliances,EMEA,607,DW-All Other Dual Wall,78082.000,46437.27
2020,2,6,26,Appliances,EMEA,104,MTA 100 & CSTII 100,1023500.000,46275.42
2020,1,2,7,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,536000.000,46287.22
2020,3,8,34,Appliances,EMEA,344,Hermetic Cluster Blocks,-772800.000,-6823.20
2020,2,4,16,Appliances,EMEA,N02,MQS - Connectors,496300.000,37951.85
